,Amenities,Bedrooms,Bathrooms,Area,Furnished,Level,location,Compound,price
8946,"Electricity Meter,Water Meter,Natural Gas,Landline",2,1,75.0,0,4,Dar al-Salaam,VGK,225000.0
8947,"Balcony,Built in Kitchen Appliances,Security,Water Meter,Natural Gas,Landline,Elevator",3,3,170.0,0,1,Maadi,Not in Compound,1370000.0
8948,No,3,3,185.0,0,6,Maadi,Not in Compound,1150000.0
8949,"Covered Parking,Water Meter,Natural Gas,Landline,Elevator",2,1,130.0,1,1,Nasr City,Not in Compound,1150000.0
8950,No,2,1,90.0,0,0,Rehab City,Not in Compound,1250000.0
8951,"Balcony,Electricity Meter,Water Meter,Natural Gas",2,1,63.0,0,1,Downtown Cairo,Not in Compound,180000.0
8953,"Balcony,Security",3,3,200.0,0,1,New Cairo - El Tagamoa,Not in Compound,2650000.0
8954,"Balcony,Security,Pets Allowed,Electricity Meter,Water Meter,Elevator",3,3,202.0,0,2,New Cairo - El Tagamoa,Mountain View Hyde Park,2200000.0
8956,No,2,1,140.0,0,4,Helwan,Not in Compound,800000.0
8957,No,3,2,145.0,0,1,Shorouk City,Not in Compound,950000.0
8958,"Covered Parking,Security,Electricity Meter,Water Meter,Natural Gas,Landline",2,1,96.0,0,2,Nasr City,Not in Compound,600000.0
8959,"Balcony,Private Garden,Pets Allowed,Landline",2,1,145.0,0,0,Obour City,Not in Compound,750000.0
8962,"Balcony,Covered Parking,Electricity Meter,Water Meter,Natural Gas,Elevator",3,2,150.0,0,5,Hadayek al-Kobba,Not in Compound,1250000.0
8963,"Balcony,Electricity Meter,Water Meter,Elevator",3,2,150.0,0,1,Shorouk City,Not in Compound,500000.0
8964,No,3,3,220.0,0,10,Maadi,Not in Compound,1250000.0
8965,No,2,1,60.0,0,3,Al Manial,Not in Compound,140000.0
8967,"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline",3,1,95.0,0,1,Nasr City,Not in Compound,1500000.0
8968,No,3,2,186.0,0,2,New Cairo - El Tagamoa,Not in Compound,3100000.0
8969,No,3,1,126.0,0,6,Downtown Cairo,Not in Compound,1890000.0
8970,"Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,160.0,0,10,Zamalek,Not in Compound,2900000.0
8971,"Balcony,Built in Kitchen Appliances,Central A/C & heating,Covered Parking,Maids Room,Pets Allowed,Private Garden,Security,Pool,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,126.0,1,2,Nasr City,Not in Compound,740000.0
8972,"Balcony,Security,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,130.0,0,5,Nasr City,Not in Compound,1200000.0
8973,"Balcony,Security,Covered Parking,Pets Allowed,Electricity Meter,Water Meter,Elevator",3,2,149.0,0,0,Madinaty,Madinaty,1900000.0
8975,No,2,2,235.0,1,5,Heliopolis,Not in Compound,1500000.0
8976,"Balcony,Built in Kitchen Appliances,Security,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline",3,2,137.0,1,1,New Cairo - El Tagamoa,Not in Compound,1650000.0
8977,"Balcony,Central A/C & heating,Covered Parking,Pets Allowed,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,103.0,0,3,Madinaty,Madinaty,1300000.0
8978,No,3,3,185.0,0,2,New Cairo - El Tagamoa,Not in Compound,1800000.0
8979,Balcony,3,2,140.0,0,1,Badr City,Not in Compound,550000.0
8980,Balcony,3,3,162.0,0,2,Rehab City,Not in Compound,2350000.0
8981,"Balcony,Security,Covered Parking,Elevator",3,1,115.0,0,3,New Cairo - El Tagamoa,Not in Compound,300000.0
8982,"Balcony,Electricity Meter,Natural Gas",3,2,154.0,0,3,Zahraa Al Maadi,Not in Compound,1300000.0
8983,No,3,2,200.0,0,1,Obour City,Not in Compound,650000.0
8985,No,3,2,130.0,0,5,New Cairo - El Tagamoa,Dar Misr,540000.0
8986,No,2,1,75.0,0,8,Maadi,Not in Compound,370000.0
8987,Electricity Meter,2,1,75.0,0,3,Marg,Not in Compound,180000.0
8989,"Balcony,Security,Electricity Meter,Water Meter,Elevator",2,2,96.0,0,4,Madinaty,Not in Compound,1250000.0
8991,"Balcony,Elevator",3,3,138.0,0,4,Rehab City,Not in Compound,2100000.0
8992,"Balcony,Built in Kitchen Appliances,Central A/C & heating,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,1,135.0,1,4,Maadi,Not in Compound,2300000.0
8993,No,3,2,200.0,0,1,New Cairo - El Tagamoa,Not in Compound,1600000.0
8994,No,2,3,89.0,0,1,Madinaty,Madinaty,970000.0
8995,No,3,2,215.0,0,2,Obour City,Not in Compound,950000.0
8996,"Balcony,Electricity Meter",3,2,250.0,0,3,New Cairo - El Tagamoa,Not in Compound,3100000.0
8997,"Balcony,Electricity Meter,Water Meter",2,1,80.0,0,3,Helmeyat El Zaytoun,Not in Compound,330000.0
8998,No,2,2,120.0,0,1,Obour City,Not in Compound,420000.0
8999,"Balcony,Pets Allowed,Electricity Meter,Water Meter",3,1,100.0,0,2,Sayeda Zeinab,Not in Compound,350000.0
9000,No,2,1,120.0,0,5,New Cairo - El Tagamoa,Not in Compound,950000.0
9001,Private Garden,3,2,128.0,0,0,Madinaty,Not in Compound,1750000.0
9002,No,2,1,100.0,0,0,Badr City,Dar Misr,150000.0
9004,"Balcony,Central A/C & heating,Security,Covered Parking,Electricity Meter,Water Meter,Natural Gas",3,2,165.0,1,1,Heliopolis,Not in Compound,1000.0
9005,No,2,1,90.0,0,6,Ain Shams,Not in Compound,250000.0
9006,"Balcony,Covered Parking,Private Garden,Security,Electricity Meter,Water Meter,Natural Gas",2,1,113.0,0,0,Rehab City,Not in Compound,1750000.0
9007,Built in Kitchen Appliances,1,1,38.0,1,0,Nasr City,Not in Compound,590000.0
9008,No,2,1,140.0,0,4,Helwan,Not in Compound,800000.0
9009,"Balcony,Covered Parking,Pets Allowed,Private Garden,Security,Electricity Meter,Elevator",3,2,167.0,0,0,New Cairo - El Tagamoa,Not in Compound,1550000.0
9010,"Balcony,Maids Room,Pets Allowed,Security",3,2,170.0,0,1,Nasr City,Not in Compound,1100000.0
9011,"Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,190.0,0,4,Nasr City,Not in Compound,1400000.0
9012,"Balcony,Covered Parking,Pets Allowed,Security,Electricity Meter,Water Meter,Landline",3,2,160.0,0,1,New Cairo - El Tagamoa,Not in Compound,1550000.0
9013,"Balcony,Built in Kitchen Appliances,Landline,Elevator",4,3,230.0,1,10,Nasr City,Not in Compound,2800000.0
9014,"Balcony,Built in Kitchen Appliances,Security,Covered Parking,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,250.0,1,9,Nasr City,Not in Compound,1500000.0
9015,"Electricity Meter,Water Meter,Natural Gas",2,1,70.0,0,0,Sayeda Zeinab,Not in Compound,230000.0
9016,"Balcony,Natural Gas,Landline,Elevator",3,2,165.0,0,5,Maadi,Not in Compound,1500000.0
9017,"Balcony,Security,Electricity Meter",3,2,128.0,0,2,Maadi,Not in Compound,1100000.0
9018,"Balcony,Covered Parking,Maids Room,Electricity Meter,Water Meter,Natural Gas,Elevator",2,1,90.0,0,4,Downtown Cairo,Not in Compound,500000.0
9019,"Balcony,Built in Kitchen Appliances,Private Garden,Central A/C & heating,Security,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,3,158.0,1,0,Madinaty,Madinaty,2550000.0
9021,"Balcony,Central A/C & heating,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,1,82.0,0,1,Sheraton,Not in Compound,675000.0
9022,"Balcony,Security",2,1,100.0,0,3,Rehab City,Not in Compound,1500000.0
9023,Covered Parking,3,2,145.0,1,0,New Cairo - El Tagamoa,Not in Compound,1250000.0
9024,No,3,3,200.0,0,1,Obour City,Not in Compound,1201000.0
9025,"Electricity Meter,Water Meter,Natural Gas",3,3,210.0,0,2,New Cairo - El Tagamoa,Not in Compound,2000000.0
9026,No,2,1,75.0,0,2,Nasr City,Not in Compound,660000.0
9027,No,3,2,130.0,0,0,Rehab City,Not in Compound,1000000.0
9028,"Balcony,Security,Electricity Meter,Water Meter,Natural Gas,Elevator",3,2,103.0,0,4,Madinaty,Madinaty,1200000.0
9030,"Balcony,Pets Allowed,Electricity Meter,Natural Gas",2,1,65.0,0,3,Mokattam,Not in Compound,430000.0
9031,No,4,3,230.0,0,2,New Cairo - El Tagamoa,Not in Compound,2200000.0
9032,"Balcony,Security,Natural Gas,Elevator",3,1,160.0,0,9,Maadi,Not in Compound,800000.0
9033,"Balcony,Private Garden,Security,Covered Parking,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline",2,2,110.0,0,0,Obour City,Not in Compound,540000.0
9034,"Balcony,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,145.0,0,1,Heliopolis,Not in Compound,1250000.0
9035,"Electricity Meter,Water Meter,Natural Gas",3,1,110.0,0,5,Shorouk City,Not in Compound,1300000.0
9036,"Balcony,Security,Electricity Meter,Elevator",3,3,162.0,0,2,Rehab City,Rehab City,2350000.0
9038,No,2,1,110.0,0,6,Maadi,Not in Compound,800000.0
9039,"Balcony,Covered Parking,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Elevator",3,2,170.0,0,2,Maadi,Not in Compound,860000.0
9040,No,2,1,81.0,1,5,Helmeyat El Zaytoun,Not in Compound,299999.0
9041,No,3,1,115.0,0,4,Ain Shams,Not in Compound,500000.0
9042,No,2,1,100.0,0,5,Ain Shams,Not in Compound,420000.0
9043,No,2,1,95.0,0,8,Ain Shams,Not in Compound,350000.0
9044,"Covered Parking,Pets Allowed,Electricity Meter,Natural Gas,Landline,Elevator",2,1,108.0,0,9,Nasr City,Not in Compound,550000.0
9045,"Balcony,Covered Parking,Security,Water Meter,Elevator",3,2,205.0,0,10,Nasr City,Not in Compound,1270000.0
9046,No,2,1,90.0,0,5,Helmeyat El Zaytoun,Not in Compound,490000.0
9048,"Security,Electricity Meter,Natural Gas,Elevator",2,1,110.0,0,4,Nasr City,Not in Compound,960000.0
9049,No,2,1,90.0,0,5,Ain Shams,Not in Compound,420000.0
9050,No,2,1,107.0,0,0,Zahraa Al Maadi,Not in Compound,800000.0
9051,No,2,1,85.0,0,4,Ain Shams,Not in Compound,235000.0
9053,"Balcony,Electricity Meter,Natural Gas,Elevator",3,3,220.0,0,9,Nasr City,Not in Compound,1200000.0
9054,"Balcony,Maids Room,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,3,250.0,0,8,Maadi,Not in Compound,1900000.0
9055,"Balcony,Security,Elevator",3,3,200.0,0,3,Obour City,Not in Compound,2100000.0
9056,No,3,1,160.0,0,1,Ain Shams,Not in Compound,350000.0
9057,No,3,3,220.0,0,0,Obour City,Not in Compound,1100000.0
9059,No,2,1,96.0,0,2,Nasr City,Not in Compound,700000.0
9060,"Balcony,Central A/C & heating,Security,Covered Parking,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,2,135.0,0,10,Downtown Cairo,Not in Compound,7000.0
9061,No,3,1,155.0,0,4,Helmeyat El Zaytoun,Not in Compound,830000.0
9062,No,3,1,120.0,0,9,Ain Shams,Not in Compound,500000.0
9063,No,3,2,215.0,0,6,Heliopolis,Not in Compound,2200000.0
9064,"Balcony,Pets Allowed,Electricity Meter,Natural Gas,Landline,Elevator",3,2,170.0,0,2,Nasr City,Not in Compound,1600000.0
9065,"Balcony,Security,Electricity Meter,Water Meter,Natural Gas,Elevator",2,2,91.0,0,2,Madinaty,Not in Compound,1000000.0
9066,"Balcony,Elevator,Water Meter,Electricity Meter,Natural Gas,Landline,Security",3,1,120.0,0,6,Nasr City,Not in Compound,1300000.0
9067,No,2,2,110.0,0,0,Ain Shams,Not in Compound,270000.0
9068,Balcony,2,2,120.0,0,0,Sheraton,Not in Compound,930000.0
9069,No,3,1,130.0,0,0,Nasr City,Not in Compound,820000.0
9071,"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline",2,1,100.0,0,2,Obour City,Not in Compound,2250.0
9072,"Balcony,Covered Parking,Pets Allowed,Security,Water Meter,Elevator",2,2,96.0,0,3,Madinaty,Madinaty,1100000.0
9073,"Security,Pets Allowed,Elevator",3,3,186.0,0,8,Maadi,Baron City,1100000.0
9074,No,4,3,230.0,0,4,Nasr City,Not in Compound,1500000.0
9075,No,2,2,190.0,0,4,Heliopolis,Not in Compound,1850000.0
9076,"Private Garden,Electricity Meter,Water Meter,Natural Gas",3,1,65.0,0,2,Helwan,Not in Compound,200000.0
9077,Balcony,3,1,100.0,0,6,Marg,Not in Compound,170000.0
9078,"Electricity Meter,Water Meter,Natural Gas,Landline",2,1,100.0,0,3,Nasr City,Not in Compound,950000.0
9079,No,3,2,230.0,0,10,Nasr City,Not in Compound,1185000.0
9080,Balcony,2,1,70.0,0,4,Nasr City,Not in Compound,470000.0
9081,"Balcony,Covered Parking,Maids Room,Pets Allowed,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,161.0,0,2,Maadi,Not in Compound,1700000.0
9082,"Electricity Meter,Water Meter,Natural Gas",1,1,70.0,0,5,Dar al-Salaam,Not in Compound,170000.0
9083,No,4,3,250.0,0,3,Nasr City,Not in Compound,1800000.0
9086,No,2,2,125.0,0,5,New Cairo - El Tagamoa,Madinaty,1200000.0
9087,No,3,2,152.0,0,4,New Cairo - El Tagamoa,Not in Compound,1140000.0
9088,"Balcony,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,3,175.0,0,3,Madinaty,Madinaty,2250000.0
9089,"Balcony,Maids Room,Pets Allowed,Security,Pool,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,3,202.0,0,2,New Cairo - El Tagamoa,Mountain View Hyde Park,2250000.0
9090,"Balcony,Central A/C & heating,Security,Covered Parking,Landline,Elevator",1,1,55.0,1,9,Helmeyat El Zaytoun,Not in Compound,300000.0
9091,"Balcony,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline",3,2,102.0,0,3,Katameya,Not in Compound,490000.0
9092,"Balcony,Pets Allowed,Private Garden,Security,Pool,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,3,200.0,0,0,New Cairo - El Tagamoa,Mountain View Hyde Park,2500000.0
9093,"Balcony,Private Garden,Security,Electricity Meter,Water Meter,Landline,Elevator",2,1,78.0,0,0,Madinaty,Madinaty,1100000.0
9094,No,2,1,130.0,0,1,Nasr City,Not in Compound,445000.0
9096,"Balcony,Built in Kitchen Appliances,Central A/C & heating,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,1,140.0,1,10,Heliopolis,Not in Compound,1350000.0
