,Amenities,Bedrooms,Bathrooms,Area,Furnished,Level,location,Compound,price
0,"Balcony,Security,Covered Parking,Electricity Meter,Water Meter,Landline,Elevator",3,2,135.0,0,5,Madinaty,Madinaty,1600000.0
2,No,3,3,180.0,0,0,Rehab City,Not in Compound,3100000.0
3,"Balcony,Pets Allowed,Security,Electricity Meter,Water Meter,Elevator",2,1,107.0,0,6,Madinaty,Madinaty,1150000.0
4,"Balcony,Electricity Meter",2,1,80.0,0,6,Marg,Not in Compound,185000.0
6,"Electricity Meter,Water Meter,Natural Gas",3,1,85.0,0,6,Zahraa Al Maadi,Not in Compound,290000.0
7,No,3,2,130.0,0,2,Shorouk City,Not in Compound,520000.0
8,"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline",3,1,100.0,0,3,Helmeyat El Zaytoun,Not in Compound,470000.0
9,No,3,1,120.0,0,6,Heliopolis,Not in Compound,925000.0
10,No,3,1,130.0,0,1,Heliopolis,Not in Compound,1100000.0
11,"Water Meter,Landline",3,1,90.0,0,8,Obour City,Not in Compound,300000.0
12,No,2,1,82.0,0,3,Helmeyat El Zaytoun,Not in Compound,450000.0
13,Security,3,3,177.0,0,1,New Heliopolis,Not in Compound,1550000.0
14,"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline",2,1,100.0,0,5,Hadayek Helwan,Not in Compound,350000.0
15,No,3,3,207.0,0,1,Helwan,Not in Compound,90025.0
16,"Balcony,Security,Covered Parking,Natural Gas,Landline,Elevator",2,1,86.0,0,1,Nasr City,Not in Compound,550000.0
17,Central A/C & heating,3,2,175.0,0,4,New Cairo - El Tagamoa,Not in Compound,1500000.0
18,No,3,3,211.0,0,1,Madinaty,Madinaty,2400000.0
19,"Balcony,Security,Pets Allowed,Elevator",4,2,215.0,0,2,Zahraa Al Maadi,Not in Compound,7000.0
20,"Electricity Meter,Water Meter,Natural Gas",2,1,82.0,0,3,Helmeyat El Zaytoun,Not in Compound,450000.0
21,"Built in Kitchen Appliances,Electricity Meter,Natural Gas,Landline,Elevator",3,2,220.0,0,10,Nasr City,VGK,1250000.0
22,No,2,2,135.0,0,2,Heliopolis,Not in Compound,1400000.0
23,No,2,1,65.0,0,4,Nasr City,Not in Compound,150000.0
25,No,3,2,115.0,0,2,Heliopolis,Not in Compound,1500000.0
26,No,3,3,175.0,0,3,Madinaty,Madinaty,2300000.0
27,No,3,2,204.0,1,2,Ramses + Ramses Extension,Not in Compound,2800000.0
28,Private Garden,2,2,96.0,0,0,Madinaty,Not in Compound,1350000.0
29,"Balcony,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,1,85.0,0,9,Marg,Not in Compound,90000.0
30,"Security,Electricity Meter,Natural Gas,Landline,Elevator",3,2,150.0,0,3,New Cairo - El Tagamoa,Not in Compound,1500000.0
31,"Balcony,Electricity Meter,Water Meter,Natural Gas,Elevator",3,2,165.0,0,3,Nasr City,Not in Compound,750000.0
32,"Balcony,Security,Covered Parking,Electricity Meter,Water Meter,Landline,Elevator",3,2,175.0,0,2,Maadi,Not in Compound,1111.0
33,No,2,1,90.0,0,7,Helmeyat El Zaytoun,Not in Compound,450000.0
34,"Balcony,Security,Electricity Meter,Natural Gas,Landline,Elevator",3,2,103.0,0,4,Madinaty,Madinaty,1200000.0
35,No,3,3,210.0,0,3,Mokattam,The Square,1700000.0
36,No,3,1,120.0,0,8,Hadayek al-Kobba,Not in Compound,770000.0
37,"Balcony,Security,Covered Parking,Maids Room,Electricity Meter,Water Meter,Elevator",2,1,110.0,0,11,Obour City,Not in Compound,500000.0
39,No,3,2,135.0,0,1,Madinaty,Madinaty,1450000.0
40,"Built in Kitchen Appliances,Electricity Meter,Water Meter,Natural Gas,Landline",3,2,220.0,0,1,New Cairo - El Tagamoa,Not in Compound,2000000.0
41,"Electricity Meter,Water Meter,Natural Gas,Elevator",3,1,90.0,0,5,Downtown Cairo,Not in Compound,345000.0
42,No,3,2,130.0,0,5,Helwan,Not in Compound,460000.0
43,"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,3,240.0,0,1,Nasr City,Not in Compound,1650000.0
45,"Pets Allowed,Electricity Meter,Water Meter,Elevator",3,1,130.0,0,9,Zahraa Al Maadi,Not in Compound,680000.0
46,No,3,2,200.0,0,2,Obour City,Not in Compound,990000.0
47,No,3,2,170.0,0,3,Shorouk City,Not in Compound,1000000.0
48,Private Garden,3,2,230.0,0,0,New Cairo - El Tagamoa,Not in Compound,2550000.0
49,"Balcony,Pets Allowed,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,180.0,0,4,New Cairo - El Tagamoa,Not in Compound,1700000.0
50,No,3,3,200.0,0,4,Rehab City,Not in Compound,2600000.0
51,No,3,2,220.0,0,0,New Nozha,Not in Compound,1850000.0
52,"Balcony,Elevator,Security",3,3,182.0,0,10,New Cairo - El Tagamoa,Tag Sultan,2400000.0
53,"Balcony,Security,Electricity Meter,Water Meter",3,1,90.0,0,0,Madinaty,Madinaty,1000000.0
55,"Electricity Meter,Water Meter,Natural Gas,Elevator",3,2,210.0,0,2,New Cairo - El Tagamoa,Not in Compound,2700000.0
56,No,3,2,240.0,0,3,New Cairo - El Tagamoa,Not in Compound,1000000.0
57,"Balcony,Electricity Meter,Water Meter,Natural Gas,Elevator",2,1,130.0,0,5,Nasr City,Not in Compound,570000.0
58,"Balcony,Private Garden,Security,Water Meter,Natural Gas,Landline,Elevator",2,1,82.0,0,2,Madinaty,Madinaty,850000.0
59,No,3,2,153.0,0,0,Madinaty,Madinaty,2600000.0
60,No,3,1,125.0,0,7,Nasr City,Not in Compound,280000.0
61,"Private Garden,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,1,107.0,0,0,Madinaty,Madinaty,1300000.0
62,"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline",4,1,150.0,0,4,Salam City,Not in Compound,430000.0
65,"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline",3,1,75.0,0,3,Maadi,Not in Compound,123456.0
66,No,2,1,130.0,0,1,Nasr City,Not in Compound,800000.0
68,No,3,1,138.0,0,4,Madinaty,Madinaty,1480000.0
70,No,3,3,240.0,0,4,New Cairo - El Tagamoa,Not in Compound,1800000.0
71,No,2,1,85.0,0,7,Marg,Not in Compound,1000.0
72,"Balcony,Covered Parking,Elevator",2,1,120.0,0,10,Helwan,Not in Compound,325000.0
73,No,3,2,210.0,0,2,New Cairo - El Tagamoa,Not in Compound,2100000.0
74,No,3,2,103.0,0,0,Madinaty,Madinaty,1600000.0
75,"Private Garden,Security,Covered Parking,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Balcony",3,2,166.0,0,0,Obour City,Not in Compound,200000.0
76,"Balcony,Security,Covered Parking,Electricity Meter,Water Meter,Natural Gas,Elevator",3,3,225.0,0,11,Shorouk City,Not in Compound,1150000.0
78,"Balcony,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Elevator",3,2,145.0,0,2,Gesr Al Suez,Not in Compound,650000.0
79,No,3,3,163.0,0,2,New Cairo - El Tagamoa,The Square,1450000.0
81,No,3,2,131.0,0,4,Madinaty,Madinaty,1600000.0
82,No,2,1,120.0,0,1,Heliopolis,Not in Compound,1200000.0
83,"Balcony,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,165.0,0,3,Zahraa Al Maadi,Not in Compound,1000250.0
84,"Balcony,Electricity Meter,Water Meter,Elevator",3,1,110.0,0,2,Helmeyat El Zaytoun,Not in Compound,800000.0
85,No,2,1,86.0,0,5,Nasr City,Not in Compound,465000.0
86,No,3,2,155.0,0,5,New Nozha,Not in Compound,1500000.0
87,"Balcony,Covered Parking,Pets Allowed,Security",2,2,96.0,0,3,Madinaty,Madinaty,940000.0
88,"Electricity Meter,Water Meter,Natural Gas,Elevator",3,2,120.0,0,9,Helwan,Not in Compound,360000.0
90,No,3,3,155.0,0,1,Rehab City,Not in Compound,2050000.0
91,No,2,1,65.0,0,3,Obour City,Not in Compound,250000.0
92,"Balcony,Security,Electricity Meter,Water Meter,Natural Gas,Elevator",3,1,120.0,0,5,Nasr City,Not in Compound,1150000.0
93,"Balcony,Security,Covered Parking,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,145.0,0,10,Gesr Al Suez,Not in Compound,1500000.0
94,"Electricity Meter,Water Meter,Natural Gas,Landline",2,1,60.0,0,6,Dar al-Salaam,Not in Compound,200000.0
95,No,3,2,220.0,0,2,New Cairo - El Tagamoa,Not in Compound,2100000.0
96,"Balcony,Covered Parking,Pets Allowed,Electricity Meter,Natural Gas,Landline,Elevator",3,2,155.0,0,2,New Cairo - El Tagamoa,Not in Compound,1900000.0
97,No,3,1,120.0,0,2,Downtown Cairo,Not in Compound,450000.0
98,Pets Allowed,2,2,96.0,0,1,Madinaty,Not in Compound,650000.0
99,"Electricity Meter,Natural Gas",2,1,65.0,0,3,Helmeyat El Zaytoun,Not in Compound,250000.0
101,"Electricity Meter,Water Meter,Natural Gas",3,1,145.0,0,3,Obour City,Not in Compound,700000.0
102,"Balcony,Pets Allowed,Security",2,3,156.0,0,0,New Cairo - El Tagamoa,Eastown,2773213.0
103,"Balcony,Covered Parking,Pets Allowed,Security,Electricity Meter,Water Meter,Elevator",4,3,223.0,0,6,Sheraton,Not in Compound,1750000.0
105,"Balcony,Pets Allowed,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,180.0,0,4,New Cairo - El Tagamoa,Not in Compound,1700000.0
106,No,3,2,180.0,0,5,Mokattam,Not in Compound,1000000.0
107,"Balcony,Security",3,1,115.0,0,0,Madinaty,Madinaty,1520000.0
108,"Balcony,Covered Parking,Pets Allowed,Security,Electricity Meter,Water Meter,Landline",3,2,224.0,0,4,New Cairo - El Tagamoa,Not in Compound,1900000.0
109,"Balcony,Security,Covered Parking,Pets Allowed,Water Meter,Natural Gas,Elevator",3,3,205.0,0,6,Heliopolis,Not in Compound,2650000.0
111,"Electricity Meter,Water Meter,Natural Gas",3,1,145.0,0,3,Obour City,Not in Compound,700000.0
112,"Balcony,Security,Pets Allowed,Electricity Meter,Natural Gas,Landline,Elevator",3,3,210.0,0,3,Maadi,Not in Compound,1900000.0
114,No,2,1,70.0,0,2,New Cairo - El Tagamoa,Not in Compound,550000.0
115,No,2,1,83.0,0,1,Madinaty,Not in Compound,820000.0
116,"Balcony,Security,Natural Gas",2,1,86.0,0,2,Nasr City,Not in Compound,530000.0
117,"Balcony,Water Meter,Natural Gas,Elevator",3,2,185.0,0,3,Downtown Cairo,Not in Compound,550000.0
118,"Balcony,Electricity Meter,Water Meter,Natural Gas",3,2,175.0,0,2,Obour City,Not in Compound,930.0
119,"Balcony,Security,Covered Parking,Pets Allowed,Electricity Meter,Natural Gas,Landline",3,2,175.0,0,4,Maadi,Not in Compound,1300000.0
120,"Electricity Meter,Water Meter,Natural Gas,Elevator",2,1,90.0,0,10,Helmeyat El Zaytoun,Not in Compound,500000.0
121,No,2,2,96.0,0,2,Madinaty,Not in Compound,650000.0
123,"Electricity Meter,Water Meter,Natural Gas",3,1,145.0,0,3,Obour City,Not in Compound,700000.0
124,"Built in Kitchen Appliances,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,1,130.0,0,5,Ain Shams,Not in Compound,7000.0
126,No,3,2,133.0,0,2,Rehab City,Not in Compound,1800000.0
127,Balcony,3,1,125.0,0,3,New Cairo - El Tagamoa,Not in Compound,350000.0
128,No,3,2,220.0,0,7,Nasr City,Not in Compound,1450000.0
129,"Balcony,Built in Kitchen Appliances,Electricity Meter,Water Meter,Natural Gas,Elevator",3,1,130.0,0,1,Ain Shams,Not in Compound,7000.0
131,No,4,3,250.0,1,6,Nasr City,Not in Compound,2400000.0
132,No,3,3,250.0,0,8,Nasr City,Not in Compound,1500000.0
133,"Balcony,Electricity Meter,Water Meter,Natural Gas,Elevator",3,2,190.0,0,3,New Cairo - El Tagamoa,Not in Compound,2100000.0
134,"Balcony,Built in Kitchen Appliances,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,1,135.0,1,7,Heliopolis,Not in Compound,1600000.0
137,"Balcony,Security,Elevator",2,2,96.0,0,3,Madinaty,Madinaty,1250000.0
138,"Natural Gas,Water Meter,Electricity Meter",3,1,100.0,0,6,Ain Shams,Not in Compound,250000.0
139,No,3,1,170.0,0,4,Nasr City,Not in Compound,1250000.0
140,Elevator,2,1,75.0,0,8,Ain Shams,Not in Compound,300000.0
141,"Balcony,Built in Kitchen Appliances,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,1,130.0,0,4,Ain Shams,Not in Compound,7000.0
142,"Balcony,Built in Kitchen Appliances,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,1,105.0,0,6,Mokattam,Not in Compound,650000.0
143,No,3,3,190.0,0,0,New Cairo - El Tagamoa,VGK,3100000.0
144,No,2,2,86.0,0,2,Madinaty,Madinaty,800000.0
145,No,3,2,190.0,0,1,New Cairo - El Tagamoa,Not in Compound,1550000.0
146,No,2,1,90.0,0,1,Shubra,Not in Compound,750000.0
147,"Built in Kitchen Appliances,Landline,Elevator",3,1,130.0,0,3,Hadayek Helwan,Not in Compound,850.0
148,No,3,1,120.0,0,6,Downtown Cairo,Not in Compound,150000.0
149,"Balcony,Private Garden,Covered Parking,Electricity Meter,Water Meter,Natural Gas,Elevator",3,3,225.0,0,1,Shorouk City,Not in Compound,1200000.0
150,No,2,1,80.0,0,2,Maadi,Degla Palms,450000.0
151,No,2,1,70.0,0,3,Shorouk City,Not in Compound,300000.0
152,No,3,2,108.0,0,2,Rehab City,Not in Compound,1350000.0
154,No,2,1,90.0,0,2,Rehab City,Not in Compound,1100000.0
156,"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,150.0,0,2,Mokattam,Not in Compound,1100000.0
157,No,2,1,120.0,0,5,Heliopolis,Not in Compound,875000.0
159,"Balcony,Security,Electricity Meter,Water Meter,Natural Gas,Elevator",3,1,140.0,0,5,Helmeyat El Zaytoun,Not in Compound,1150000.0
160,"Balcony,Covered Parking,Maids Room,Pets Allowed,Private Garden,Security,Pool,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,3,164.0,0,0,New Cairo - El Tagamoa,Galleria Moon Valley,2500000.0
161,"Balcony,Security,Electricity Meter,Water Meter,Natural Gas,Elevator",4,3,230.0,0,1,Madinaty,Madinaty,2500000.0
162,No,4,3,196.0,0,5,Rehab City,Rehab City,2800000.0
163,No,3,2,124.0,0,1,Madinaty,Madinaty,1475000.0
164,No,3,2,170.0,0,9,Nasr City,Not in Compound,2000000.0
165,No,3,3,162.0,0,4,Rehab City,Not in Compound,2400000.0
166,"Security,Covered Parking,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,3,200.0,0,4,Nasr City,Not in Compound,2100000.0
167,"Balcony,Built in Kitchen Appliances,Central A/C & heating,Security,Covered Parking,Maids Room,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Elevator",4,2,250.0,1,3,Nasr City,Not in Compound,1550000.0
168,"Balcony,Security,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,217.0,0,1,Obour City,Not in Compound,9000.0
169,No,3,3,164.0,0,1,Rehab City,Not in Compound,2200000.0
170,"Electricity Meter,Water Meter,Landline,Elevator",3,2,160.0,0,10,Gesr Al Suez,Not in Compound,340000.0
171,Balcony,1,1,60.0,0,2,Nasr City,Not in Compound,170000.0
172,"Balcony,Electricity Meter,Water Meter,Landline",4,3,260.0,0,3,New Cairo - El Tagamoa,Not in Compound,10000.0
173,"Water Meter,Electricity Meter,Natural Gas,Balcony",2,1,100.0,0,5,Ain Shams,Not in Compound,300000.0
174,"Balcony,Security,Covered Parking,Pets Allowed,Electricity Meter,Water Meter,Landline,Elevator",2,1,100.0,0,3,Madinaty,Madinaty,1250000.0
175,"Electricity Meter,Natural Gas",3,1,100.0,0,1,Ain Shams,Not in Compound,300000.0
176,No,3,3,163.0,0,1,Rehab City,Not in Compound,2200000.0
177,No,3,2,137.0,0,1,Rehab City,Not in Compound,1800000.0
178,"Balcony,Security,Covered Parking,Elevator",3,3,175.0,0,2,New Cairo - El Tagamoa,Not in Compound,1397000.0
179,"Electricity Meter,Water Meter,Natural Gas,Landline",2,1,100.0,0,3,Ain Shams,Not in Compound,275000.0
180,No,2,1,92.0,0,1,Rehab City,Not in Compound,1300000.0
181,No,2,1,90.0,1,3,Rehab City,Not in Compound,1350000.0
182,No,2,1,70.0,0,2,New Cairo - El Tagamoa,Not in Compound,490000.0
184,"Balcony,Built in Kitchen Appliances,Security,Electricity Meter,Water Meter,Natural Gas,Elevator",3,1,96.0,0,4,Nasr City,Not in Compound,800.0
185,No,3,3,155.0,0,3,Rehab City,Not in Compound,1900000.0
186,No,3,3,209.0,0,1,New Cairo - El Tagamoa,Not in Compound,2000000.0
187,No,3,2,170.0,0,2,Shorouk City,Not in Compound,1000000.0
188,"Security,Electricity Meter,Natural Gas,Landline,Elevator",2,1,82.0,0,3,Madinaty,Madinaty,950000.0
189,"Balcony,Pets Allowed,Electricity Meter,Water Meter,Landline,Elevator",2,1,82.0,0,5,Madinaty,Madinaty,1000000.0
190,No,3,1,90.0,0,11,Nasr City,Not in Compound,700000.0
191,"Security,Electricity Meter,Water Meter,Natural Gas,Landline",3,2,152.0,0,1,Nasr City,Not in Compound,1200000.0
194,No,2,1,70.0,0,1,New Cairo - El Tagamoa,Not in Compound,555000.0
195,No,2,1,70.0,0,1,New Cairo - El Tagamoa,Not in Compound,530000.0
196,No,3,2,130.0,0,0,New Cairo - El Tagamoa,Not in Compound,420000.0
197,"Balcony,Security,Pets Allowed,Elevator",3,2,133.0,0,5,Madinaty,Madinaty,1200000.0
198,"Balcony,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,1,120.0,0,2,Heliopolis,Not in Compound,1000000.0
199,"Balcony,Built in Kitchen Appliances,Private Garden,Central A/C & heating,Security,Covered Parking,Maids Room,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,3,160.0,0,0,Madinaty,Madinaty,2350000.0
200,Elevator,3,3,180.0,0,1,Zahraa Al Maadi,Not in Compound,950000.0
201,No,2,1,100.0,0,5,Shorouk City,Not in Compound,275000.0
202,No,3,2,200.0,0,5,Sheraton,Not in Compound,2100000.0
203,"Balcony,Security,Electricity Meter,Water Meter,Natural Gas",3,2,115.0,0,0,Shorouk City,Not in Compound,5030.0
204,"Balcony,Pets Allowed,Security,Electricity Meter,Water Meter,Natural Gas",3,3,157.0,0,1,Rehab City,Not in Compound,2000000.0
205,No,3,2,135.0,0,4,Madinaty,Madinaty,1480000.0
206,"Electricity Meter,Water Meter,Landline",3,1,100.0,0,0,Obour City,Not in Compound,450000.0
207,"Balcony,Security,Pets Allowed",2,2,96.0,0,1,Madinaty,Madinaty,800000.0
208,No,3,3,191.0,0,0,New Cairo - El Tagamoa,VGK,3100000.0
209,"Balcony,Covered Parking,Security,Electricity Meter,Elevator",4,2,153.0,0,5,Ramses + Ramses Extension,Not in Compound,1500000.0
210,No,3,1,115.0,0,1,New Cairo - El Tagamoa,Not in Compound,100000.0
211,"Balcony,Elevator,Security",3,3,182.0,0,10,New Cairo - El Tagamoa,Tag Sultan,2400000.0
212,"Balcony,Built in Kitchen Appliances,Central A/C & heating,Security,Covered Parking,Maids Room,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,3,157.0,0,0,New Cairo - El Tagamoa,Galleria Moon Valley,2150000.0
213,"Balcony,Security,Covered Parking,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,2,135.0,0,2,Helwan,Not in Compound,700000.0
215,"Balcony,Pets Allowed,Security",2,3,156.0,0,0,New Cairo - El Tagamoa,Eastown,2773213.0
216,"Electricity Meter,Water Meter,Landline",3,1,100.0,0,0,Obour City,Not in Compound,450000.0
217,"Electricity Meter,Water Meter,Elevator",3,1,160.0,0,3,Nasr City,Not in Compound,1500000.0
218,"Electricity Meter,Water Meter,Landline",3,1,100.0,0,0,Obour City,Not in Compound,450000.0
219,No,3,2,170.0,0,10,Nasr City,Not in Compound,1300000.0
220,No,3,2,131.0,0,4,Rehab City,Rehab City,2000000.0
222,"Balcony,Covered Parking,Pets Allowed,Security,Pool,Electricity Meter,Water Meter,Elevator",3,2,139.0,1,5,Rehab City,Not in Compound,2368600.0
223,"Balcony,Security,Pets Allowed,Elevator",3,2,116.0,0,2,Madinaty,Madinaty,1100000.0
224,No,2,1,90.0,0,5,Ain Shams,Not in Compound,285000.0
225,"Balcony,Security,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,1,140.0,0,2,Maadi,Not in Compound,1760000.0
226,"Balcony,Built in Kitchen Appliances,Maids Room,Electricity Meter,Water Meter",2,1,125.0,0,0,Heliopolis,Not in Compound,980000.0
227,"Electricity Meter,Natural Gas",3,1,100.0,0,2,Maadi,Not in Compound,420000.0
228,"Electricity Meter,Water Meter,Natural Gas,Landline",3,1,200.0,0,5,Nasr City,Not in Compound,1250000.0
229,No,3,2,116.0,0,4,Madinaty,Madinaty,1350000.0
230,"Balcony,Electricity Meter,Natural Gas",2,1,62.0,0,5,Mokattam,Not in Compound,240000.0
231,"Balcony,Security,Covered Parking,Maids Room,Pets Allowed,Electricity Meter,Water Meter,Natural Gas",4,3,250.0,0,3,Obour City,Rehab City,2500000.0
232,"Balcony,Private Garden,Security,Pool,Electricity Meter,Water Meter,Natural Gas,Landline",3,3,170.0,0,0,Maadi,The Square,1700000.0
233,"Electricity Meter,Water Meter,Landline,Elevator",3,2,150.0,0,5,Ain Shams,Not in Compound,500000.0
234,"Balcony,Central A/C & heating,Water Meter,Natural Gas,Landline,Elevator",3,1,90.0,0,8,Hadayek Helwan,Not in Compound,220000.0
235,No,2,1,100.0,0,5,Ramses + Ramses Extension,Not in Compound,700000.0
236,No,3,2,185.0,0,2,Obour City,Not in Compound,710000.0
237,No,3,2,170.0,0,5,New Cairo - El Tagamoa,Not in Compound,1200000.0
238,"Balcony,Electricity Meter,Water Meter,Natural Gas",2,1,85.0,0,2,Ain Shams,Not in Compound,350000.0
239,"Balcony,Covered Parking,Maids Room,Pets Allowed,Private Garden,Security,Pool,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,3,157.0,0,0,New Cairo - El Tagamoa,Galleria Moon Valley,2450000.0
241,No,3,2,170.0,0,7,Heliopolis,Not in Compound,2500000.0
243,"Electricity Meter,Water Meter",2,1,100.0,0,3,Marg,Not in Compound,170000.0
246,"Balcony,Electricity Meter,Natural Gas,Landline,Elevator",3,1,120.0,0,4,Sheraton,Not in Compound,1000000.0
247,"Balcony,Electricity Meter,Natural Gas,Landline,Elevator",3,2,180.0,0,7,Nasr City,Not in Compound,1500000.0
249,No,2,2,96.0,0,4,Madinaty,Madinaty,1100000.0
251,"Balcony,Built in Kitchen Appliances,Electricity Meter,Water Meter,Landline,Elevator",2,1,110.0,0,7,Gesr Al Suez,Not in Compound,600000.0
252,"Balcony,Built in Kitchen Appliances,Private Garden,Central A/C & heating,Pool,Electricity Meter,Water Meter,Landline,Elevator",3,2,180.0,0,8,Nasr City,Not in Compound,1400000.0
253,No,3,2,160.0,0,4,Mokattam,Not in Compound,960000.0
254,"Balcony,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline",3,1,110.0,0,1,Hadayek al-Kobba,Not in Compound,800000.0
255,No,3,2,135.0,0,4,Madinaty,Madinaty,1650000.0
256,No,3,3,171.0,0,4,Rehab City,Not in Compound,1950000.0
257,"Balcony,Covered Parking,Natural Gas,Landline",2,1,100.0,0,1,Ramses + Ramses Extension,Not in Compound,750000.0
258,"Balcony,Elevator",3,2,190.0,0,7,Heliopolis,Not in Compound,1700000.0
259,Landline,3,1,110.0,0,4,Maadi,Not in Compound,320000.0
260,Balcony,2,1,76.0,0,5,Helwan,Not in Compound,210000.0
261,"Balcony,Built in Kitchen Appliances,Pool,Electricity Meter,Water Meter,Natural Gas,Landline",2,1,115.0,0,3,Zamalek,Not in Compound,2300000.0
262,"Balcony,Built in Kitchen Appliances,Security,Electricity Meter,Water Meter,Natural Gas,Landline",3,1,160.0,0,3,Nasr City,Not in Compound,1350000.0
263,"Balcony,Security,Electricity Meter,Natural Gas,Landline",3,1,140.0,0,2,Obour City,Not in Compound,640000.0
264,"Balcony,Covered Parking,Pets Allowed,Security,Electricity Meter,Water Meter,Natural Gas,Elevator",3,2,120.0,0,2,New Cairo - El Tagamoa,Not in Compound,780000.0
265,"Balcony,Built in Kitchen Appliances,Security,Covered Parking,Maids Room,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,165.0,0,4,Nasr City,Not in Compound,1250000.0
266,"Balcony,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,1,145.0,0,3,Madinaty,Madinaty,1680000.0
267,"Balcony,Security,Covered Parking,Pets Allowed,Water Meter,Natural Gas,Elevator",3,3,205.0,0,6,Heliopolis,Not in Compound,2650000.0
268,"Balcony,Security,Pets Allowed,Electricity Meter,Water Meter,Elevator",3,3,202.0,0,2,New Cairo - El Tagamoa,Mountain View Hyde Park,2200000.0
269,Balcony,3,2,135.0,0,0,New Cairo - El Tagamoa,Not in Compound,950000.0
270,No,3,3,162.0,0,3,Rehab City,Not in Compound,2100000.0
271,"Balcony,Security,Covered Parking,Pets Allowed,Natural Gas,Landline",3,1,135.0,0,1,New Cairo - El Tagamoa,Not in Compound,1100000.0
272,No,3,2,130.0,0,3,New Cairo - El Tagamoa,Dar Misr,440000.0
273,"Security,Electricity Meter,Water Meter,Elevator",2,1,140.0,0,7,Gesr Al Suez,Not in Compound,270000.0
274,No,3,1,96.0,0,2,Nasr City,Not in Compound,560000.0
275,"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",4,2,250.0,1,1,Nasr City,Not in Compound,1900000.0
277,No,3,2,211.0,0,3,Obour City,Not in Compound,900000.0
278,"Balcony,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,1,135.0,1,3,Nasr City,Not in Compound,900000.0
279,"Electricity Meter,Water Meter,Natural Gas",3,1,100.0,0,6,Ain Shams,Not in Compound,250000.0
281,"Balcony,Built in Kitchen Appliances,Central A/C & heating,Security,Covered Parking,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,2,96.0,0,5,Madinaty,Madinaty,1150000.0
282,No,2,1,70.0,0,2,Obour City,Not in Compound,85000.0
283,"Electricity Meter,Water Meter,Natural Gas",3,1,90.0,0,4,Matareya,Not in Compound,250000.0
284,No,3,2,150.0,0,1,Nasr City,Not in Compound,1300000.0
285,"Balcony,Covered Parking,Security,Electricity Meter,Elevator",3,3,139.0,0,4,Rehab City,Not in Compound,2100000.0
286,No,3,1,105.0,0,3,New Cairo - El Tagamoa,Not in Compound,500000.0
287,"Balcony,Covered Parking,Pets Allowed,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",4,3,200.0,0,3,Madinaty,Madinaty,2600000.0
288,"Electricity Meter,Water Meter,Natural Gas",2,1,90.0,0,1,Ain Shams,Not in Compound,300000.0
289,"Balcony,Electricity Meter,Water Meter,Natural Gas",2,1,100.0,0,5,Ain Shams,Not in Compound,300000.0
290,"Balcony,Covered Parking,Pets Allowed,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",4,3,200.0,0,5,Madinaty,Madinaty,2400000.0
292,"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline",2,1,120.0,0,1,New Nozha,Not in Compound,800000.0
