Amenities,Bedrooms,Bathrooms,Area (m²),Furnished,Level,Ad Type,Type,Payment Option,price,title,location,Compound
"Balcony,Electricity Meter,Water Meter,Landline,Elevator",3,2,220,,2,For Sale,Apartment,Installment,"1,350,000 EGPnegotiable",للبيع شقة استلام فوري بتسهيلات بالتجمع الخ...,New Cairo - El Tagamoa,Abu Al-Hool
,3,2,170,,1,For Sale,Apartment,Installment,"5,900 EGP",جاردينيا هايتس التجمع الخامس شقه بسعر مغرى...,New Cairo - El Tagamoa,Abu Al-Hool
,3,1,143,,1,For Sale,Apartment,Installment,"843,700 EGP",اختار صح واسكن في اميز مكان في جاردينيا ها...,New Cairo - El Tagamoa,Abu Al-Hool
,3,3,210,No,2,For Sale,Apartment,Cash,"1,170,000 EGP",شقة في ابو الهول ٣ _ جاردنيا هايتس التجمع ...,New Cairo - El Tagamoa,Abu Al-Hool
,2,2,200,No,4,For Sale,Apartment,Cash or Installment,"450,000 EGP",للبيع روف 200م بالتجمع الخامس,New Cairo - El Tagamoa,Abu Al-Hool
"Private Garden,Pets Allowed,Electricity Meter,Water Meter",5,3,360,No,Ground,For Sale,Duplex,Cash,"1,400,000 EGP",دوبلكس بالتجمع الخامس جاردينيا 1 بسعر لقطة,New Cairo - El Tagamoa,Abu Al-Hool
,3,1,120,,1,For Sale,Apartment,Cash,"650,000 EGP",شقه 120م جاردينيا اكبر مساحه 3نوم،2ريسيبشن,New Cairo - El Tagamoa,Abu Al-Hool
,2,1,115,,1,For Sale,Apartment,,"650,000 EGP",جاردينيا هايتس 115 م دور اول تلات نواصي ال...,New Cairo - El Tagamoa,Abu Al-Hool
,1,1,70,,2,For Sale,Studio,,"430,000 EGP",استوديو للبيع التجمع الخامس منطقه جاردينيا...,New Cairo - El Tagamoa,Abu Al-Hool
"Balcony,Electricity Meter,Natural Gas",2,2,115,No,1,For Sale,Apartment,Cash or Installment,"700,000 EGP",شقه للبيع في منطقه مميزه في التجمع الخامس,New Cairo - El Tagamoa,Abu Al-Hool
"Balcony,Built in Kitchen Appliances",2,2,120,,1,For Sale,Apartment,Cash,"540,000 EGP",ب 540 الف تقدر تسكن في التجمع الخامس,New Cairo - El Tagamoa,Abu Al-Hool
,3,2,230,,2,For Sale,Apartment,,"1,150,000 EGPnegotiable",شقة 230متر استلام فوري بالتجمع الخامس,New Cairo - El Tagamoa,Abu Al-Hool
,3,2,170,No,2,For Sale,Apartment,Cash or Installment,"5,950 EGP",جاردينيا هايتس التجمع الخامس عاين بنفسك عل...,New Cairo - El Tagamoa,Abu Al-Hool
,3,2,137,No,Ground,For Sale,Apartment,Cash,"1,650,000 EGP",شقة للبيع 137م صافي في كمبوند زيزينيا بجوا...,New Cairo - El Tagamoa,Abu Al-Hool
,2,1,120,,1,For Sale,Apartment,Installment,"6,050 EGP",جاردينيا هايتس التجمع الخامس ارسم حياتك اا...,New Cairo - El Tagamoa,Abu Al-Hool
,2,1,90,,1,For Sale,Apartment,Installment,"495,000 EGP",جاردينيا هايتس التجمع الخامس شقه بسعر مغرى...,New Cairo - El Tagamoa,Abu Al-Hool
,2,2,125,No,1,For Sale,Apartment,Cash,"950,000 EGPnegotiable",شقه للبيع في جاردينيا 1 التجمع الخامس,New Cairo - El Tagamoa,Abu Al-Hool
"Pets Allowed,Electricity Meter,Landline",3,2,220,,2,For Sale,Apartment,Cash,"1,300,000 EGP",شقة للبيع 200 متر هااى لوكس بسعر لقطة,New Cairo - El Tagamoa,Abu Al-Hool
"Balcony,Electricity Meter,Water Meter,Natural Gas",2,1,110,No,1,For Sale,Apartment,Cash,"600,000 EGPnegotiable",ارخص شقه للبيع جاردنيا 1 بالتجمع الخامس اس...,New Cairo - El Tagamoa,Abu Al-Hool
"Private Garden,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,1,120,No,2,For Sale,Apartment,Cash or Installment,"900,000 EGP",إمتلك شقة استلام فورى بالمرافق و متشطبه بم...,New Cairo - El Tagamoa,Abu Al-Hool
,2,1,110,No,2,For Sale,Apartment,Cash,"550,000 EGPnegotiable",شقة للبيع جاردينيا هايتس التجمع الخامس است...,New Cairo - El Tagamoa,Abu Al-Hool
,2,1,110,No,1,For Sale,Apartment,Cash or Installment,"550,000 EGP",شقة للبيع في التجمع الخامس,New Cairo - El Tagamoa,Abu Al-Hool
,3,2,139,No,Ground,For Sale,Apartment,Cash,"2,000,000 EGP",شقة للبيع في كمبوند جاليريا مون فالي 139م ...,New Cairo - El Tagamoa,Abu Al-Hool
