title,price,location,property_type,bedrooms,bathrooms,area
A special apartment 75m  in Capital Heights 2,"
          1,078,000
              EGP  ","Capital Heights 2, New Capital Compounds, New Capital City, Cairo",Apartment,2 ,1 ,75 sqm
Apartment For Sale in Prime Location 274M at MVHP,"
          2,600,000
              EGP  ","Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,274 sqm
Apartment272m in New Cairo with Under market price,"
          3,150,000
              EGP  ","Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,4 ,4 ,272 sqm
Apartment for Sale in Mivida Emaar,"
          3,700,000
              EGP  ","Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,200 sqm
Apartment 240 m for sale at El Korba Heliopolis.,"
          3,700,000
              EGP  ","Al Thawra St., El Korba, Heliopolis - Masr El Gedida, Cairo",Apartment,3 ,2 ,240 sqm
Duplex 310m for Sale in Uptown Cairo Compound,"
          6,100,000
              EGP  ","The Sierras, Uptown Cairo, Mokattam, Cairo",Apartment,3 ,3 ,310 sqm
Apartment in castle land mark 10 years installment,"
          1,770,000
              EGP  ","Castle Landmark, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,3 ,200 sqm
Great 40% cash discount Midtown sky,"
          1,058,400
              EGP  ","Midtown Sky, New Capital Compounds, New Capital City, Cairo",Apartment,2 ,2 ,140 sqm
Own your apartment with the lowest down payment .,"
          681,850
              EGP  ","Degla Towers, Nasr City Compounds, Nasr City, Cairo",Apartment,3 ,1 ,104 sqm
Apartment In Midtown Condo New Capital 210m,"
          1,400,000
              EGP  ","Midtown Condo, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,2 ,210 sqm
Apartment In Midtown Condo New Capital 210m,"
          934,000
              EGP  ","Midtown Condo, New Capital Compounds, New Capital City, Cairo",Apartment,2 ,1 ,120 sqm
Apartment for sale in zahraa el maadi 205m .,"
          1,500,000
              EGP  ","Corniche St., El Mearag City, Zahraa El Maadi, Hay El Maadi, Cairo",Apartment,3 ,3 ,205 sqm
Apartment for Sale In Al Rehab 118m² ultra lux .,"
          1,650,000
              EGP  ","Nizar Kabani St., Rehab City First Phase, Al Rehab, New Cairo City, Cairo",Apartment,3 ,2 ,118 sqm
Buy Now in District5 Apartment Very prime Location,"
          2,442,000
              EGP  ","District 5, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,1 ,126 sqm
Pay 149K And Own Apt 143m With Installments 8 Y .,"
          1,490,000
              EGP  ","R7, New Capital City, Cairo",Apartment,3 ,3 ,143 sqm
Flat With Zero Over - Prime Location In Galleria..,"
          1,300,000
              EGP  ","Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",Apartment,3 ,3 ,196 sqm
Apartment 145m new phase in castle land mark,"
          1,450,000
              EGP  ","Castle Landmark, New Capital Compounds, New Capital City, Cairo",Apartment,2 ,2 ,145 sqm
Pay 180K And Own Your Apt150m With Installment 11Y,"
          1,650,000
              EGP  ","Sueno, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,3 ,150 sqm
Apartment 3 bed+ Nanny's for sale in VGK Compound.,"
          2,100,000
              EGP  ","Village Gardens Katameya, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,185 sqm
Apartment 140m for sale in Mountain View Hyde Park,"
          1,650,000
              EGP  ","Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,140 sqm
Apartment for sale in zahraa elmaadi 170m .,"
          1,400,000
              EGP  ","6th Sector, Zahraa El Maadi, Hay El Maadi, Cairo",Apartment,3 ,2 ,170 sqm
Apartment in New Capital 0% Down Payment-10 Years,"
          1,938,000
              EGP  ","The Loft, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,2 ,174 sqm
Apartment In Midtown Condo New Capital 210m,"
          1,067,000
              EGP  ","Midtown Condo, New Capital Compounds, New Capital City, Cairo",Apartment,2 ,1 ,120 sqm
Apartment for sale 158m in Taj City New Cairo,"
          270,000
              EGP  ","Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,158 sqm
Apartment for sale in zahraa elmaadi 200m .,"
          1,700,000
              EGP  ","6th Sector, Zahraa El Maadi, Hay El Maadi, Cairo",Apartment,3 ,3 ,200 sqm
Apartment | Mivida | Boulevard | Fully Finished,"
          4,300,000
              EGP  ","Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,1 ,209 sqm
Mivida Crescent Apartment with Garden for Sale,"
          5,600,000
              EGP  ","Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,243 sqm
apartment 155 m with garden 85 m in eastown,"
          2,650,000
              EGP  ","Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,4 ,155 sqm
18% Discount on Finished Apartment In New Capital,"
          1,576,583
              EGP  ","Capital Heights 2, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,3 ,118 sqm
Great Offer 5% and 8 years La Vista City  !,"
          5,800,000
              EGP  ","La Vista City, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,2 ,230 sqm
Finished corner Apartment - CFC Under market price,"
          3,300,000
              EGP  ","Cairo Festival City, North Investors Area, New Cairo City, Cairo",Apartment,2 ,2 ,134 sqm
apartment very prime location for sale in Eastown,"
          3,000,000
              EGP  ","Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,187 sqm
