title,price,location,property_type,bedrooms,bathrooms,area
Full Floor for sale In Mostafa ElNahas Hot Price,"
          6,250,000
              EGP  ","Mostafa Al Nahas St., 6th Zone, Nasr City, Cairo",Apartment,5 ,4 ,611 sqm
Apartment In New Capital Fully Finished Ac's 0% DP,"
          1,808,200
              EGP  ","De Joya, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,2 ,136 sqm
Apt 176m Fully Finished at VGK (Palm Hills) ......,"
          2,300,000
              EGP  ","Village Gardens Katameya, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,2 ,176 sqm
Apartment at South Academy nice Location Super Lux,"
          2,600,000
              EGP  ","Mohamed Hussein Mahmoud St., Area E, Ganoob El Acadimia, New Cairo City, Cairo",Apartment,3 ,3 ,200 sqm
Fully Finished High specs 2 Bedrooms with Garage,"
          2,850,000
              EGP  ","Palm Hills Village Gate, South Investors Area, New Cairo City, Cairo",Apartment,2 ,2 ,146 sqm
Apartment with 20%Discount in Taj City Over 6Years,"
          2,192,000
              EGP  ","Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,157 sqm
Apartment for sale at the square prime location,"
          2,200,000
              EGP  ","The Square, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,4 ,3 ,225 sqm
Specila apartment With 10% DP &10 years install,"
          1,280,000
              EGP  ","De Joya, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,2 ,135 sqm
Apartment for sale in Ganoub El  Academia,"
          2,750,000
              EGP  ","Doctor Yassin Abdel Ghaffar St., Area C, Ganoob El Acadimia, New Cairo City, Cairo",Apartment,4 ,3 ,250 sqm
5% down payment  installments over 14 years,"
          1,900,000
              EGP  ","Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo",Apartment,2 ,2 ,105 sqm
Fully Finished apt at Regent's Park Prime Location,"
          2,500,000
              EGP  ","Regents Park, Al Andalus District, New Cairo City, Cairo",Apartment,2 ,2 ,140 sqm
Apartment For Sale in the square Prime location,"
          2,566,000
              EGP  ","The Square, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,170 sqm
Apartment in Hyde Park- Park Corner 135 m,"
          232,000
              EGP  ","Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,135 sqm
"Apartment in WaterWay compund 248m finished,ready","
          3,200,000
              EGP  ","The Water Way, North Investors Area, New Cairo City, Cairo",Apartment,3 ,3 ,248 sqm
Ultra ultra modern furnished flat 180 sqm for sale,"
          3,500,000
              EGP  ","Sarayat Al Maadi, Hay El Maadi, Cairo",Apartment,3 ,3 ,180 sqm
40% discount for limited time apartment with garden at 90 avenue,"
          2,513,551
              EGP  ","90 Avenue, South Investors Area, New Cairo City, Cairo",Apartment,3 ,2 ,154 sqm
Under market price Apartment at Lake View residence 144M prime location,"
          2,050,000
              EGP  ","Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,144 sqm
Apartment 165 m for sale in Tag Sultan,"
          2,050,000
              EGP  ","Tag Sultan, Ring Road, Cairo",Apartment,3 ,3 ,165 sqm
شقة بكمبوند هايد بارك ماونتن فيو بقسط على 10 سنوات,"
          2,716,286
              EGP  ","Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,115 sqm
"Apartment,one Kattameya120m high area main street","
          750,000
              EGP  ","One Kattameya, El Katameya Compounds, El Katameya, New Cairo City, Cairo",Apartment,2 ,2 ,120 sqm
Fully finished apartment in compound one katamya,"
          1,400,000
              EGP  ","One Kattameya, El Katameya Compounds, El Katameya, New Cairo City, Cairo",Apartment,2 ,2 ,124 sqm
Fully Furnished Ground Apt With Garden-The Village,"
          3,200,000
              EGP  ","The Village, South Investors Area, New Cairo City, Cairo",Apartment,2 ,2 ,146 sqm
Amazing price Apartment 236m for sale at WaterWay,"
          5,500,000
              EGP  ","The Water Way, North Investors Area, New Cairo City, Cairo",Apartment,3 ,3 ,236 sqm
Apartment in El-Banafseg - Super lux with Kitchen.,"
          1,600,000
              EGP  ","El Banafseg Apartment Buildings, El Banafseg, New Cairo City, Cairo",Apartment,2 ,2 ,140 sqm
The strongest offer in the administrative capital,"
          2,157,000
              EGP  ","Castle Landmark, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,3 ,190 sqm
Apartment sale waterway compound over waterfeautre,"
          5,500,000
              EGP  ","The Water Way, North Investors Area, New Cairo City, Cairo",Apartment,3 ,2 ,198 sqm
mivida apartment 200 under market price,"
          3,300,000
              EGP  ","Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,200 sqm
Sarayat El Maadi (Maadi District),"
          7,000,000
              EGP  ","Sarayat Al Maadi, Hay El Maadi, Cairo",Apartment,3 ,3 ,220 sqm
Special apartment for sale in Katamya Plaza SODIC,"
          2,800,000
              EGP  ","Al Katameya Plaza, The 1st Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,156 sqm
Nile view apartment for sell in garden city,"
          9,000,000
              EGP  ","Al Tahrir St., Garden City, Cairo",Apartment,3 ,3 ,260 sqm
"Apartment for sale in Attica, New Capital","
          2,250,000
              EGP  ","Atika, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,2 ,160 sqm
For sale 134m View Landscape inThe Square Compound,"
          1,200,000
              EGP  ","The Square, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,134 sqm
Apartment in Palm Hills New Cairo_Fifth Settlement,"
          1,824,000
              EGP  ","Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,3 ,143 sqm
Fully finished Apartment for sale in Madinaty - B6,"
          1,250,000
              EGP  ","Madinaty, Cairo",Apartment,3 ,2 ,103 sqm
شقة للبيع 220م بمدينة نصر المنطقة الاولى,"
          1,600,000
              EGP  ","Nasr Ahmed Zaki St., 1st Zone, Nasr City, Cairo",Apartment,3 ,2 ,220 sqm
For sale apartment CFC 194 meters overlooking club,"
          4,656,000
              EGP  ","Cairo Festival City, North Investors Area, New Cairo City, Cairo",Apartment,3 ,3 ,194 sqm
Apartment at the square ready to move,"
          1,400,000
              EGP  ","The Square, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,162 sqm
فرصة للبيع  شقة 200م2 ثانى نمرة من شارع احمد فخرى.,"
          1,150,000
              EGP  ","Ahmed Fakhry St., 6th Zone, Nasr City, Cairo",Apartment,3 ,3 ,200 sqm
Apartment for sale 214 m in Swan Lake Hassan Alaam,"
          570,000
              EGP  ","Swan Lake, The 1st Settlement, New Cairo City, Cairo",Apartment,3 ,2 ,214 sqm
Apartment for sale 204 m for sale lake view,"
          3,710,000
              EGP  ","Lake View, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,204 sqm
Apartment fully finished in compound mivida Emaar,"
          3,350,000
              EGP  ","Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,200 sqm
apartment for sale at sarayat elmaadi modern,"
          3,600,000
              EGP  ","Sarayat Al Maadi, Hay El Maadi, Cairo",Apartment,3 ,2 ,220 sqm
Apartment For sale Mountain View Hyde Park,"
          3,150,000
              EGP  ","Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,274 sqm
apartment for sale in yasmine 8 with facilitation,"
          2,150,000
              EGP  ","El Yasmeen 8, El Yasmeen, New Cairo City, Cairo",Apartment,3 ,3 ,200 sqm
Spectacular 3 Bedrooms In Fifth Square Finished,"
          2,559,900
              EGP  ","Fifth Square, North Investors Area, New Cairo City, Cairo",Apartment,3 ,3 ,160 sqm
One bedroom  with garden in The Village for sale,"
          2,150,000
              EGP  ","The Village, South Investors Area, New Cairo City, Cairo",Apartment,1 ,1 ,133 sqm
Apartment for sale in Rivan compound 145 metr,"
          2,400,000
              EGP  ","Rivan, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,2 ,140 sqm
Great Opportunity in Neopolis price 7900 LE/M2 !!!,"
          643,000
              EGP  ","Neopolis   Wadi Degla, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",Apartment,3 ,3 ,138 sqm
Fully finished Apartment for sale in Al Burouj,"
          1,657,550
              EGP  ","Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo",Apartment,2 ,2 ,134 sqm
Apartment For Sale in Madinaty wide Garden View.,"
          3,800,000
              EGP  ","Madinaty, Cairo",Apartment,3 ,3 ,320 sqm
"Apartment For Resale in Hyde Park, Park Corner ...","
          3,601,500
              EGP  ","Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,4 ,3 ,233 sqm
Apartment 230m with garden for sale at water way,"
          1,629,900
              EGP  ","The Water Way, North Investors Area, New Cairo City, Cairo",Apartment,3 ,3 ,230 sqm
Furnished apartment in Taqseem ElLaselky FOR SALE,"
          2,250,000
              EGP  ","Atef Khattab St., El Laselky, New Maadi, Hay El Maadi, Cairo",Apartment,4 ,2 ,230 sqm
great  apartment for sale in stone residence,"
          2,850,000
              EGP  ","Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,200 sqm
Galleria Moon Valley apart.170 1st floor,"
          2,200,000
              EGP  ","Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",Apartment,2 ,2 ,170 sqm
1 BED Fully Finished overlooking Green River !,"
          750,000
              EGP  ","Bleu Vert, New Capital Compounds, New Capital City, Cairo",Apartment,1 ,1 ,48 sqm
Apartment for sale in Mivida parcel 200 SQM,"
          3,600,000
              EGP  ","Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,200 sqm
Apartment for sale at Banafseg Buildings,"
          2,100,000
              EGP  ","El Banafseg Apartment Buildings, El Banafseg, New Cairo City, Cairo",Apartment,3 ,2 ,185 sqm
ِApartment for sale in Mountain view hydepark,"
          2,050,000
              EGP  ","Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,3 ,133 sqm
150 M for sale in Tag Sultan Park View,"
          2,050,000
              EGP  ","Tag Sultan, Ring Road, Cairo",Apartment,3 ,3 ,150 sqm
ready to move in units in mokattam palaces area,"
          1,836,000
              EGP  ","Hassan Al Akbar St., Al Hadaba Al Olya, Mokattam, Cairo",Apartment,4 ,3 ,270 sqm
Apartment receive immediate in the city of Sunrise,"
          2,100,000
              EGP  ","Granda, 5th District, Shorouk City, Cairo",Apartment,4 ,3 ,176 sqm
apartment for sale in rehab 2 garden view fifth le,"
          1,650,000
              EGP  ","El Rehab Extension, Al Rehab, New Cairo City, Cairo",Apartment,3 ,2 ,131 sqm
Apartment for sale 190 SQM & 120 Garden,"
          2,300,000
              EGP  ","Street 12, District 1, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,190 sqm
Apartment Unit Corner At Mivida Boulevard 148m,"
          2,800,000
              EGP  ","Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,148 sqm
B.Market Price Villette App188m D.P.2550000 D.2021,"
          3,800,000
              EGP  ","Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,188 sqm
Super Lux Apartment +garden Century City New Cairo,"
          2,542,500
              EGP  ","Century City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,172 sqm
Apartment 168m 3 bedrooms in Hassan Allam Haptown,"
          2,050,000
              EGP  ","HAP Town, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",Apartment,3 ,2 ,168 sqm
For Sale Apartment 154m in Eastown parks Sodic,"
          2,510,000
              EGP  ","Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,3 ,154 sqm
vgk apartment 185m under market price with garage,"
          2,100,000
              EGP  ","Village Gardens Katameya, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,212 sqm
Prime location apartment for sale at eastwon,"
          3,150,000
              EGP  ","Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,205 sqm
Century City New Cairo Apartment park nd pool view,"
          2,574,000
              EGP  ","Century City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,175 sqm
215m Apartment in Lake View Residence | Phase 2,"
          3,600,000
              EGP  ","Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,215 sqm
205m Luxury Fully Finished Apartment in Park View,"
          5,000,000
              EGP  ","Park View, North Investors Area, New Cairo City, Cairo",Apartment,3 ,3 ,205 sqm
Apartment Fully Furnished For Sale at Hydepark,"
          3,000,000
              EGP  ","Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,171 sqm
Apartments for sale at Midtown Condo New Capital,"
          2,415,000
              EGP  ","R7, New Capital City, Cairo",Apartment,3 ,3 ,210 sqm
Under Market Price Apartment 225For Sale Furnished,"
          5,000,000
              EGP  ","The Sierras, Uptown Cairo, Mokattam, Cairo",Apartment,3 ,2 ,225 sqm
Apartment in New Cairo - installments over 8 years,"
          2,829,000
              EGP  ","Fifth Square, North Investors Area, New Cairo City, Cairo",Apartment,2 ,2 ,120 sqm
corner 140 Sqm For sale in stone residence,"
          1,520,000
              EGP  ","Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,140 sqm
The Square Sabbour Apartment Prime Location 170m,"
          1,750,000
              EGP  ","The Square, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,170 sqm
Apartment for sale 232 m + 103 m private garden,"
          350,000
              EGP  ","Oia, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,2 ,232 sqm
Apartment for sale in Al Rehab,"
          1,870,000
              EGP  ","Taher Abo Fasha St., Rehab City First Phase, Al Rehab, New Cairo City, Cairo",Apartment,3 ,3 ,155 sqm
apartment fully finished in ganoub el academya,"
          2,750,000
              EGP  ","Al Shaimaa St., Area F, Ganoob El Acadimia, New Cairo City, Cairo",Apartment,3 ,2 ,200 sqm
بمدينتي ارضي بحديقه امام الفودكورت,"
          1,850,000
              EGP  ","Madinaty, Cairo",Apartment,3 ,2 ,124 sqm
شقه بالاندلس الجديده بفيو مفتوح استلام فوري تقسيط,"
          980,000
              EGP  ","Al Andalus El Gedida, Al Andalus District, New Cairo City, Cairo",Apartment,3 ,2 ,145 sqm
شقه بالحي الرابع بجوار الفيو زون تقسيط علي 6 سنوات,"
          1,230,000
              EGP  ","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",Apartment,4 ,3 ,212 sqm
شقه علي شارع رئيسي بجوار الفيو زون تقسيط 6 سنوات,"
          874,000
              EGP  ","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,2 ,152 sqm
شقه للبيع تشطيب - بالتكيفات والمطبخ 139متر التجمع,"
          3,336,000
              EGP  ","Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,2 ,139 sqm
شقة فاخرة للبيع فى البنفسج عمارات التجمع الخامس  .,"
          1,800,000
              EGP  ","El Banafseg Apartment Buildings, El Banafseg, New Cairo City, Cairo",Apartment,3 ,2 ,160 sqm
شقه ببيت الوطن بجوار النادي الاهلي علي حديقه تقسيط,"
          1,520,000
              EGP  ","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",Apartment,4 ,3 ,212 sqm
شقه مميزه واجهه بالكامل باللوتس تقسيط علي 6 سنوات,"
          1,675,000
              EGP  ","South Lotus, El Lotus, New Cairo City, Cairo",Apartment,3 ,3 ,199 sqm
للبيع شقه 162م بعض التشطيبات الخاصة مدينة الرحاب .,"
          2,250,000
              EGP  ","El Rehab Extension, Al Rehab, New Cairo City, Cairo",Apartment,3 ,3 ,162 sqm
بقدم 900 الف استلم فورى وقسط على سنتين,"
          1,800,000
              EGP  ","Mohamed Mandour St., 1st Zone, Nasr City, Cairo",Apartment,3 ,2 ,215 sqm
شقه بموقع مميز باللوتس ناصيه و تقسيط علي 6 سنوات,"
          1,775,000
              EGP  ","New Lotus, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,228 sqm
شقة 129 م في كمبوند مينوركا وقسط علي 10 سنين,"
          1,238,000
              EGP  ","Menorca, New Capital Compounds, New Capital City, Cairo",Apartment,2 ,2 ,129 sqm
امتلك شقة 163 م بمقدم 152 الف والباقي علي 9 سنوات,"
          1,524,000
              EGP  ","Menorca, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,3 ,163 sqm
شقة 272 م في كمبوند مينوركا بسعر متر 9000 ج,"
          2,448,000
              EGP  ","Menorca, New Capital Compounds, New Capital City, Cairo",Apartment,4 ,4 ,272 sqm
شقه بالاندلس الجديده بفيو مفتوح استلام فوري تقسيط,"
          980,000
              EGP  ","Al Andalus El Gedida, Al Andalus District, New Cairo City, Cairo",Apartment,3 ,2 ,145 sqm
شقه بالحي الرابع بجوار الفيو زون تقسيط علي 6 سنوات,"
          1,230,000
              EGP  ","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",Apartment,4 ,3 ,212 sqm
شقه دبل فيس بموقع متميز بشريط المدارس تقسيط 3سنوات,"
          1,350,000
              EGP  ","2nd Neighborhood, 2nd District West, Shorouk City, Cairo",Apartment,4 ,3 ,250 sqm
شقة للبيع سوبر لوكس 220م فى مصر الجديدة شارع الماظه,"
          2,700,000
              EGP  ","Almaza St., Almazah, Heliopolis - Masr El Gedida, Cairo",Apartment,3 ,3 ,220 sqm
10% مقدم 10% خصم شقة ارضي 154م بحديقة لفترة محدودة,"
          2,048,000
              EGP  ","Scenario, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,3 ,154 sqm
شقه للبيع تشطيب - بالتكيفات والمطبخ 139متر التجمع,"
          3,336,000
              EGP  ","Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,2 ,139 sqm
امتلك عيادة بالتقسيط بمول جراند الشروق بموقع متميز,"
          1,700,000
              EGP  ","13th Neighborhood, 3rd District East, Shorouk City, Cairo",Apartment,1 ,1 ,81 sqm
سوبر لوكس فى النرجس عمارات بسعر متر اقل من 10 الاف,"
          1,100,000
              EGP  ","El Narges Buildings, Al Narges, New Cairo City, Cairo",Apartment,2 ,1 ,119 sqm
شقه علي شارع رئيسي بجوار الفيو زون تقسيط 6 سنوات,"
          874,000
              EGP  ","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,2 ,152 sqm
فرصة مميزة جدا شقة بمشروع زد التجمع الخامس       .,"
          2,500,000
              EGP  ","Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,106 sqm
شقة للبيع في مدينة نصر 130 متر الترا سوبر لوكس,"
          1,600,000
              EGP  ","Mahmoud Khairy St., 1st Zone, Nasr City, Cairo",Apartment,2 ,1 ,130 sqm
شقه بانوراما بموقع مميز باللوتس تقسيط علي 6 سنوات,"
          1,840,000
              EGP  ","South Lotus, El Lotus, New Cairo City, Cairo",Apartment,3 ,3 ,222 sqm
امتلك شقتك بمشروع جنوب بمقدم 10% و تقسيط علي 4 سنوات,"
          1,248,000
              EGP  ","Jnoub, New Capital Compounds, New Capital City, Cairo",Apartment,2 ,3 ,130 sqm
شقه دبل فيس بموقع متميز بشريط المدارس تقسيط 3سنوات,"
          1,350,000
              EGP  ","2nd Neighborhood, 2nd District West, Shorouk City, Cairo",Apartment,4 ,3 ,250 sqm
شقتك180م بالشروق امام نادي هليوبوليس بالتقسيط,"
          1,260,000
              EGP  ","El Nady District, Shorouk City, Cairo",Apartment,3 ,3 ,180 sqm
apartment for sale في العاصمة حقيقة مش خيال,"
          114,000
              EGP  ","Armonia, New Capital Compounds, New Capital City, Cairo",Apartment,1 ,1 ,71 sqm
شقه دبل فيس بموقع متميز بشريط المدارس تقسيط 3سنوات,"
          1,350,000
              EGP  ","2nd Neighborhood, 2nd District West, Shorouk City, Cairo",Apartment,4 ,3 ,250 sqm
فرصة مميزة جدا شقة بمشروع زد التجمع الخامس       .,"
          2,500,000
              EGP  ","Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,106 sqm
شقة للبيع في مدينة نصر 130 متر الترا سوبر لوكس,"
          1,600,000
              EGP  ","Mahmoud Khairy St., 1st Zone, Nasr City, Cairo",Apartment,2 ,1 ,130 sqm
شقتك بالعاصمه الاداريه الجديدة بافضل موقع,"
          1,482,000
              EGP  ","Town Gate, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,3 ,190 sqm
للبيع شقه 140 م باللوتس الشماليه تشطيب الترا لوكس,"
          1,550,000
              EGP  ","North Lotus, El Lotus, New Cairo City, Cairo",Apartment,3 ,2 ,140 sqm
شقه للبيع مدينتي سعر لقطه 107م دور رابع على حديقه,"
          1,150,000
              EGP  ","Madinaty, Cairo",Apartment,2 ,1 ,107 sqm
شقه 130م للبيع بالمعادي هايتس كومباوند تبارك,"
          850,000
              EGP  ","Tabarak, Zahraa El Maadi, Hay El Maadi, Cairo",Apartment,3 ,2 ,130 sqm
شقه بيع 140م بالبي10 بمدينتي علي اكبر وايد جاردن,"
          1,350,000
              EGP  ","Madinaty, Cairo",Apartment,3 ,2 ,140 sqm
امتلك وحدتك الان في جولف بورتو  كايرو مستقبل سيتي,"
          625,000
              EGP  ","Golf Porto Cairo, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",Apartment,3 ,2 ,148 sqm
شقه متشطبه في مدينتي ارضي سعر رائع,"
          1,000,050
              EGP  ","Madinaty, Cairo",Apartment,2 ,2 ,91 sqm
شقه بالاندلس الجديده بواجهه بحري استلام فوري تقسيط,"
          1,300,000
              EGP  ","Al Andalus El Gedida, Al Andalus District, New Cairo City, Cairo",Apartment,3 ,2 ,187 sqm
شقه باللوتس بموقع مميز تقسيط علي 6سنوات بدون فوائد,"
          1,775,000
              EGP  ","South Lotus, El Lotus, New Cairo City, Cairo",Apartment,3 ,3 ,228 sqm
شقه للبيع في مصر الجديده بجانب حديقة الميريلاند,"
          1,650,000
              EGP  ","Abdullah Al Nadim St., El Mahkama Square, Heliopolis - Masr El Gedida, Cairo",Apartment,3 ,2 ,185 sqm
شقة للبيع بموقع   متميز بالزمالك,"
          2,100,000
              EGP  ","Bahgat Ali St. (Ebn Al Nabeh), Zamalek, Cairo",Apartment,2 ,2 ,128 sqm
امتلك شقة  في كمبوند OIA بالتقسيط ع 5 سنوات,"
          240,500
              EGP  ","Oia, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,2 ,185 sqm
شقة للبيع بالتقسيط في موقع مميز في Swan Lake,"
          315,000
              EGP  ","Swan Lake, The 1st Settlement, New Cairo City, Cairo",Apartment,3 ,2 ,224 sqm
ارخص اكبر تاون علي افضل فيو باطول سداد بأقل مقدم,"
          3,960,000
              EGP  ","Midtown Sky, New Capital Compounds, New Capital City, Cairo",Apartment,5 ,4 ,350 sqm
شقة 163م استلام فوري في الشروق بالمنطقة الثالثة,"
          855,750
              EGP  ","2nd Neighborhood, 7th Area, Shorouk City, Cairo",Apartment,3 ,2 ,163 sqm
لسه مشتريتش في العاصمة يبقي لازم تشوف الاعلان ده,"
          1,845,000
              EGP  ","Town Gate, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,2 ,195 sqm
شقه ٢٤٠ متر موقع متميز جدا وتشطيب الترا سوبر لوكس,"
          3,500,000
              EGP  ","Madinaty, Cairo",Apartment,3 ,3 ,240 sqm
شقة لقطة للبيع ستون ريزدنس التجمع الخامس غرفتين .,"
          1,506,000
              EGP  ","Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,140 sqm
شقة الترا سوبر لوكس للبيع فى ايستاون التجمع الخامس,"
          3,900,000
              EGP  ","Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,210 sqm
شقة مميزة للبيع بالحديقة كمبوند في التجمع الخامس,"
          3,600,000
              EGP  ","Fifth Square, North Investors Area, New Cairo City, Cairo",Apartment,3 ,2 ,143 sqm
شقة للبيع التجمع 145 متر تشطيب كامل بالتكيفات,"
          2,755,000
              EGP  ","Fifth Square, North Investors Area, New Cairo City, Cairo",Apartment,3 ,2 ,145 sqm
شقتك في العاصمة بمقدم 7% وقسط على 10 سنين,"
          1,870,000
              EGP  ","De Joya, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,2 ,189 sqm
شقة بكمبوند هايد بارك موقع مميز بالتقسيط         .,"
          2,160,000
              EGP  ","Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,135 sqm
شقة مميزة للبيع بالحديقة كمبوند في التجمع الخامس,"
          3,600,000
              EGP  ","Fifth Square, North Investors Area, New Cairo City, Cairo",Apartment,3 ,2 ,143 sqm
شقة 180 متر بماونتن فيو سيتى بمقدم 297 الف,"
          297,000
              EGP  ","Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,1 ,180 sqm
شقة الرحاب-موقع مميز وفيو مفتوح امام النادي مباشره,"
          5,800,000
              EGP  ","Abou Bakr Al Sedeek St., Rehab City Second Phase, Al Rehab, New Cairo City, Cairo",Apartment,4 ,4 ,305 sqm
ادفع 20 % واستلم شهر4 متشطب فى فيفث اسكوير المراسم,"
          2,581,000
              EGP  ","Fifth Square, North Investors Area, New Cairo City, Cairo",Apartment,2 ,1 ,115 sqm
شقه (3غرف) للبيع بكمبوند تاج مصر العاصمه الاداريه,"
          180,000
              EGP  ","De Joya, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,2 ,181 sqm
شقه مونتن فيو Icity التجمع الخامس 150م بنظام فيلا,"
          2,615,000
              EGP  ","Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,150 sqm
ادفع 800 الف واستلم فورى والباقى على 24 شهر,"
          1,550,000
              EGP  ","Al Shaheed Mostafa Shams El Deen St., El Hegaz Square, El Nozha, Cairo",Apartment,3 ,2 ,185 sqm
القاهره الجديده مدينتي بالمرحله الاولي,"
          1,750,000
              EGP  ","Madinaty, Cairo",Apartment,3 ,2 ,124 sqm
شقه للبيع 145م تشطيب كامل العاصمة الجديدة,"
          1,885,000
              EGP  ","Midtown Sky, New Capital Compounds, New Capital City, Cairo",Apartment,2 ,1 ,145 sqm
شقة 160 م مع حديقة 40م بمقدم 172 الف وقسط 10 سنين,"
          1,729,000
              EGP  ","Menorca, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,3 ,160 sqm
القاهره الجديده-مدينتي-المرحله العاشره B10,"
          1,550,000
              EGP  ","Madinaty, Cairo",Apartment,3 ,2 ,109 sqm
شقة 140م بمكان مميز في الشروق بالمنطقة السادسة,"
          750,000
              EGP  ","6th Area East, Shorouk City, Cairo",Apartment,3 ,2 ,140 sqm
شقه بالنرجس الجديده موقع متميز بالتقسيط علي 5سنوات,"
          1,125,000
              EGP  ","New Narges, New Cairo City, Cairo",Apartment,3 ,2 ,150 sqm
شقة190م امامي بالشروق امام نادي هيليوبليس بالتقسيط,"
          1,330,000
              EGP  ","El Nady District, Shorouk City, Cairo",Apartment,3 ,2 ,190 sqm
