,title,location,bedrooms,bathrooms,area,price,compound
8716,شقه فى قلب العاصمه بسعر مش هايتكرر غرفتين  على فيو,"The City Valley, New Capital Compounds, New Capital City, Cairo",2,2,100,920000.0,1
8717,١٠٦م٢ تخصيص B2  فرصة بتسهيلات سبع سنوات,"Madinaty, Cairo",2,1,106,520000.0,0
8718,شقة في هايد بارك بمقدم 210 الف و تقسيط علي 120 شهر,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,1,131,2100000.0,1
8719,شقة بيع أرضى بحديقة ١٧٧م٢ + ٦٠م٢ حديقةB8,"Madinaty, Cairo",3,3,177,850000.0,0
8720,تشطيبات فندقية للبيع شقة بنفسج عمارات علي الرئيسي,"El Banafseg Apartment Buildings, El Banafseg, New Cairo City, Cairo",3,2,125,1350000.0,0
8721,للبيع بمدينتي شقة 141م بسعر وموقع مميز علي النادي,"Madinaty, Cairo",3,2,141,1700000.0,0
8722,شقه استوديو دور ارضي بحديقه 117 متر بتاج سيتي   .,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,117,2050000.0,1
8723,شقة ٢٠٠م٢ B8  ڤيو مفتوح روعة تنازل فورى,"Madinaty, Cairo",3,3,200,920000.0,0
8724,شقة ٢٠٠م٢ فى مدينتى بيع بتسهيلات ٧ سنوات,"Madinaty, Cairo",3,3,200,930000.0,0
8725,شقه للبيع 200 م علي شارع التسعين في النرجس 3,"Al Narges 3, Al Narges, New Cairo City, Cairo",3,2,200,1700000.0,0
8726,شقه للبيع مساحة 175م فيو وايد جاردن,"Madinaty, Cairo",3,3,175,2300000.0,0
8727,شقة 135م بمقدم 10% وتقسيط على 10 سنوات بدون فوائـد,"De Joya, New Capital Compounds, New Capital City, Cairo",3,2,135,1548250.0,1
8728,شقة 141م متشطبة بكمبوند ماونتن فيو هايد بارك,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2,141,2050000.0,1
8729,شقه 250 متر تشطيب فاخر على بحر امواج صناعيه,"Highland Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,3,250,2500000.0,1
8730,شقه185م للبيع فى الاندلس بالتجمع الخامس تقسيط3سنين,"Al Andalus Family, Al Andalus District, New Cairo City, Cairo",3,2,185,1350000.0,0
8731,للتمليك بمدينتى شقه أرضى 105.م بحديقه خاصه 50م,"Madinaty, Cairo",2,1,105,1550000.0,0
8732,شقة مميزة للبيع نموذج 100 بارقى مراحل مدينتى,"Madinaty, Cairo",2,2,107,1200000.0,0
8733,للبيع بالرحاب شقه 196م بالمرحله الخامسه موقع ممتاز,"Ibn Rushd St., Rehab City Fifth Phase, Al Rehab, New Cairo City, Cairo",4,3,196,2800000.0,0
8734,شقة للبيع بمدينتى 175 متر فيو جاردن,"Madinaty, Cairo",3,3,175,2300000.0,0
8735,للبيع شقة 200 متر بالمنطقة السادسة موقع مميز,"Ibrahim Nawar St., 6th Zone, Nasr City, Cairo",3,2,200,1250000.0,0
8736,شقه للبيع ارضي بحديقه مساحة 75م+45حديقه,"Madinaty, Cairo",2,1,75,12000000.0,0
8737,شقه مساحة90م فيو جاردنق ريبه من الحركه والفود كورت,"Madinaty, Cairo",2,1,90,970000.0,0
8738,شقه للبيع  مساحة 145م فيو وايد جاردن,"Madinaty, Cairo",3,1,143,1450000.0,0
8739,شقة للبيع تشطيبات ممتازة 175 متر بمدينتى فيو جاردن,"Madinaty, Cairo",3,3,175,2650000.0,0
8740,للبيع شقة  بجاردن سيتى 300م سوبرلوكس موقع رئيسى,"Gamal Al Din Abou Al Mahasen Square, Garden City, Cairo",3,2,300,3800000.0,0
8741,كمبوند النخيل- التجمع الاول,"The 1st Settlement, New Cairo City, Cairo",3,3,200,2500000.0,0
8742,Apartment for Sale in Heliopolis - Overlooking el koleya el harbeya,"Heliopolis - Masr El Gedida, Cairo",2,2,180,1800000.0,0
8743,أرضى بحديقة بمدينة الرحاب 155متر وحديقة 54متر بحرى,"El Rehab Extension, Al Rehab, New Cairo City, Cairo",3,3,155,2550000.0,0
8744,شقه للبيع بأرقي مناطق جنوب الأكاديمية أ,"Area A, Ganoob El Acadimia, New Cairo City, Cairo",4,3,260,2700000.0,0
8745,Apartment for sale 255 m in installments in front of Rehab in Swan Lake Hassan Allam,"Swan Lake, The 1st Settlement, New Cairo City, Cairo",4,3,255,780000.0,0
8746,Apartment for sale,"Al Salam City, Cairo",3,1,110,549000.0,0
8747,Apartment for sale in 5th in front of the Choueifat School,"Al Shouyfat, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,200,1800000.0,1
8748,300M Ground floor for sale - parallel to Ammar ibn yasser,"Ammar Ibn Yasser St., El Hegaz Square, El Nozha, Cairo",4,3,300,2550000.0,0
8749,شقه النرجس الجديده 170م مقدم 30%,"New Narges, New Cairo City, Cairo",3,2,170,1275000.0,0
8750,للبيع شقه ارضى ب2 مدخل خاص لجميع الاغراض بسعر مناسب للجادين,"Ghana St., Roxy, Heliopolis - Masr El Gedida, Cairo",4,2,140,1800000.0,0
8751,للبيع شقه رائعه كامله التشطيب بكامل الاثاث والاجهزه,"Al Athari Mohamed Nafie St., Roxy, Heliopolis - Masr El Gedida, Cairo",3,3,280,3600000.0,0
8752,"شقه بتشطيب فاخر موقع  مميز جدا ""كمبوند تيجان ١""","Tijan, Zahraa El Maadi, Hay El Maadi, Cairo",3,3,205,2150000.0,0
