,Amenities,Bedrooms,Bathrooms,Area,Furnished,Level,location,Compound,price,title
9829,"['Security', 'Covered Parking', 'Pets Allowed']",3,2,130.0,0,0,Madinaty,Madinaty,1650000.0,شقه للبيع في مدينتي مساحه 130+50 متر حديقة
9830,[],3,2,123.0,0,0,Madinaty,Madinaty,1250000.0,شقه لقططه خالصه وديعه////D
9831,['Security'],3,1,143.0,0,2,Madinaty,Madinaty,1430000.0,شقه للبيع بمدينتي بالبى٦ مساحه ١٤٣ متر ثان...
9832,[],4,1,120.0,0,3,Helwan,Not in Compound,250000.0,شقة للبيع بالمشروع الامريكى مجاورة 9 حلوان
9833,[],3,2,160.0,0,11,Nasr City,Not in Compound,875000.0,امتلك شقتك مساحات 160م مواقع مميزة جدآ
9834,[],3,1,90.0,0,5,Hadayek Helwan,Not in Compound,400000.0,شقة للبيع بمكان مميز
9835,[],2,1,70.0,0,1,Helmeyat El Zaytoun,Not in Compound,320000.0,شقة للبيع
9836,"['Security', 'Elevator']",3,3,140.0,0,5,New Cairo - El Tagamoa,Dar Misr,1000000.0,للبيع شقة 140متر بدار مصر القرنفل التجمع ا...
9837,"['Security', 'Covered Parking', 'Elevator', 'Pets Allowed']",3,3,131.0,0,1,Rehab City,Rehab City,1800000.0,131م للبيع بالرحاب بالمرحلة الخامسة دور او...
9838,"['Security', 'Elevator', 'Pets Allowed']",2,1,90.0,0,1,Ain Shams,Not in Compound,180000.0,شقه تمليك للييع عين شمس الشرقيه
9839,[],2,1,60.0,0,1,Helwan,Not in Compound,160000.0,شقة للبيع فى مكان متميز بالمشروع الأمريكى ...
9840,"['Security', 'Covered Parking', 'Pets Allowed']",3,3,157.0,1,0,Madinaty,Madinaty,2500000.0,شقه للبيع في مدينتي مساحه 157+50 متر حديقة
9841,"['Security', 'Elevator']",3,2,130.0,0,1,New Cairo - El Tagamoa,Dar Misr,360000.0,شقه بدار مصر الشروق
9842,[],3,1,80.0,0,3,Badr City,Not in Compound,350000.0,شقة لقطة للبيع
9843,"['Security', 'Covered Parking', 'Elevator', 'Pets Allowed']",2,1,126.0,0,2,New Cairo - El Tagamoa,Not in Compound,1350000.0,شقة كاملة التشطيب سوبر لوكس 126 م جاهزة لل...
9844,"['Security', 'Covered Parking', 'Elevator', 'Pets Allowed']",2,2,157.0,0,5,New Cairo - El Tagamoa,The Square,1500000.0,شقة 157 م نصف تشطيب في ذا سكوير صبور استلا...
9845,"['Security', 'Elevator', 'Pets Allowed']",3,3,157.0,0,2,Rehab City,Not in Compound,2000000.0,شقة تمليك في المرحلة الثالثة 157متر
9846,"['Security', 'Covered Parking', 'Pets Allowed']",3,3,245.0,0,0,Madinaty,Madinaty,3200000.0,شقه للبيع في مدينتي مساحه 245+65 متر حديقة
9847,['Security'],3,3,221.0,0,10,Nasr City,Not in Compound,1450000.0,شقه ٢٢٠ مسجله بالقرب من النحاس وعباس العقا...
9848,"['Security', 'Covered Parking', 'Elevator']",3,2,144.0,0,4,Nasr City,Not in Compound,1375000.0,اول سكن الترا سوبر لوكس للبيع كمبوند بريمي...
9849,[],3,2,125.0,0,4,New Nozha,Not in Compound,250000.0,شقة ١٢٥م في شارع ١٢ هادئ بالخمسين يمكن الت...
9850,[],3,1,135.0,0,5,Abasiya,Not in Compound,1000000.0,شقة للبيع بميدان الجيش العباسية
9851,[],3,1,80.0,0,2,Ezbet El Nakhl,Not in Compound,200000.0,شقة للبيع بجوار مترو عزبة النخل الشرقية
9852,[],2,1,97.0,0,8,Nasr City,Not in Compound,750000.0,بيع شقه في الواحه حي السفارات مدينه نصر
9853,"['Security', 'Elevator']",3,1,135.0,0,3,New Cairo - El Tagamoa,Not in Compound,1100000.0,وسط البلد شارع القصر العيني شقه ١٣٠ متر تش...
9854,[],2,1,100.0,1,2,Abasiya,Not in Compound,480000.0,شقة في العباسية
9855,['Elevator'],2,1,120.0,0,3,Nasr City,Not in Compound,850000.0,شقة للبيع بمدينة نصر لسرعة البيع
9856,[],3,2,117.0,0,4,Madinaty,Madinaty,1335000.0,للبيع شقة بمدينتي بسعر تجاري
9857,"['Security', 'Covered Parking', 'Elevator']",2,2,115.0,0,6,Helwan,Not in Compound,585000.0,شقة للبيع سوبر لوكس فى وسط حلوان قريبة من ...
9858,[],3,2,103.0,0,1,Madinaty,Not in Compound,1250000.0,شقة للبيع بمدينتي فيو جاردن b6
9859,"['Security', 'Covered Parking', 'Elevator']",2,2,89.0,0,4,Madinaty,Madinaty,1070000.0,شقة 89م للبيع بمدينتي ( بحري - فيو مميز )
9860,"['Security', 'Pets Allowed']",2,2,141.0,0,0,Shorouk City,Not in Compound,1200000.0,شقة للبيع بكمباوند وادي الربيع
9861,[],3,2,90.0,0,0,Shubra,Not in Compound,500000.0,شقة ٩٠ متر بشارع الفرماوي بدوران شبرا
9862,[],2,1,105.0,0,0,Madinaty,Not in Compound,1350000.0,شقة للبيع بمدينتي ارضي بحديقة فيو وايد جار...
9863,[],3,2,116.0,0,4,Madinaty,Madinaty,1250000.0,شقه للبيع بسعر مغري جداااا خالصه b11
9864,[],3,3,180.0,0,0,Madinaty,Madinaty,2450000.0,للبيع شقة ارضي بحديقة بسعر محروق
9865,[],2,1,70.0,0,5,New Cairo - El Tagamoa,Not in Compound,410000.0,شقة 70 م بالقرب من ميجا مول
9866,[],2,1,63.0,0,0,Madinaty,Madinaty,870000.0,للبيع شقة ارضي بحديقة بال b7بسعر لقطة
9867,[],2,1,99.0,0,5,Rehab City,Rehab City,1350000.0,Apartment for sale
9868,['Elevator'],4,3,275.0,0,3,New Cairo - El Tagamoa,Not in Compound,2200000.0,للبيع ٢٧٥ م٢ زهراء المعادي من المالك مباشر...
9869,['Elevator'],4,3,225.0,0,4,Zahraa Al Maadi,Not in Compound,1000000.0,شقه مميزه ب كمبوند الفرسان داءرى المعادى
9870,['Elevator'],2,1,120.0,0,2,Downtown Cairo,Not in Compound,1150000.0,شقه تحفه بموقع متميز بمكرم امام سيتي سنتر
9871,[],2,1,95.0,0,5,Salam City,Not in Compound,400000.0,شقه تمليك بموقع متميز بمدينة السلام
9872,"['Security', 'Elevator', 'Pets Allowed']",3,3,175.0,0,3,Madinaty,Madinaty,2150000.0,شقة للبيع في مدينتي B1مساحة 175متر
9873,[],3,1,100.0,0,1,Downtown Cairo,Not in Compound,550000.0,شقة للبيع في مدينة نصر مساكن الشروق
9874,"['Security', 'Pets Allowed']",3,2,225.0,0,10,New Cairo - El Tagamoa,Not in Compound,2000000.0,شقه للبيع في ابراج اغاخان
9875,"['Covered Parking', 'Maids Room', 'Pets Allowed']",3,2,164.0,0,3,New Cairo - El Tagamoa,Not in Compound,1600000.0,شقه في النرجس عمارات
9876,[],3,1,83.0,0,5,Marg,Not in Compound,155000.0,شقه+روف للبيع في المرج
9877,[],2,1,90.0,0,3,Maadi,Not in Compound,380000.0,شقة تمليك للبيع(السعر نهائي)
9878,"['Security', 'Pets Allowed']",3,1,82.0,0,3,Shorouk City,Not in Compound,385000.0,شقة بالشروق بجوار مستشفى رويال الشروق
9879,[],2,1,90.0,0,7,Maadi,Not in Compound,620000.0,شقة تمليك للبيع (للجادين فقط) ش حسنين دسوق...
9880,[],3,1,120.0,0,7,Ain Shams,Not in Compound,360000.0,شقه للبيع
9881,['Elevator'],2,1,75.0,1,3,Maadi,Not in Compound,600000.0,شقة مندرة بحري أول نمرة على البحر مباشرة
9882,"['Security', 'Elevator']",2,1,140.0,0,4,Nasr City,Not in Compound,1100000.0,شقه بمدينه نصر للبيع
9883,[],4,1,160.0,0,1,Heliopolis,Not in Compound,1650000.0,شقه للبيع بمصر الجديده مرخصه اداري
9884,[],2,1,100.0,0,0,Heliopolis,Not in Compound,950000.0,شقه ارضي للبيع بمصر الجديده م
9885,"['Security', 'Covered Parking', 'Elevator']",3,2,166.0,0,6,Heliopolis,Not in Compound,800000.0,بميدان النعام
9886,[],3,1,150.0,0,1,Helmeyat El Zaytoun,Not in Compound,880000.0,شقة مرخصه بالقرب من سوبر ماركت العثيم ومتر...
9887,"['Security', 'Pets Allowed']",2,1,90.0,0,2,Ain Shams,Not in Compound,260000.0,شقه للبيع بسوق السيراميك
9888,['Pets Allowed'],3,1,135.0,0,4,Ain Shams,Not in Compound,400000.0,شقة للبيع بعين شمس الشرقية متفرع من شارع ا...
9889,[],3,2,120.0,0,1,Ain Shams,Not in Compound,420000.0,تم التصالح علي العقار ودفع جدية التصالح وا...
9890,[],3,2,180.0,0,2,New Cairo - El Tagamoa,Not in Compound,1800000.0,من المالك مباشراً بالنرجس فيلات
9891,[],3,2,135.0,0,3,Obour City,Not in Compound,850000.0,شقة للبيع
9892,['Elevator'],3,1,125.0,0,1,Helwan,Not in Compound,430000.0,شقة للبيع بمدينة الموظفين بحلوان 125م
9893,[],3,1,100.0,0,6,New Cairo - El Tagamoa,Not in Compound,300000.0,شقه فى حدائق حلوان شارع العشرين البحرى من ...
9894,['Elevator'],3,3,176.0,0,3,Shorouk City,Not in Compound,1000000.0,شقه للبيع تسليم فوري 3 غرف و 3 حمامات و ري...
9895,['Elevator'],3,2,155.0,0,8,Nasr City,Not in Compound,1175000.0,شقه للبيع سوبر لوكس للجاديين فقط
9896,"['Covered Parking', 'Elevator', 'Maids Room']",3,2,180.0,1,1,Nasr City,Not in Compound,1850000.0,شقة للبيع
9897,['Elevator'],2,2,185.0,0,8,Shubra,Not in Compound,1500000.0,شقه للبيع في برج
9898,[],3,2,151.0,0,4,New Cairo - El Tagamoa,Not in Compound,1100000.0,اللوتس الجنوبيه
9899,"['Security', 'Elevator', 'Pets Allowed']",3,1,140.0,0,6,Nasr City,Not in Compound,550000.0,شقة للبيع بزهراء مدينة نصر
9900,[],3,2,140.0,0,3,New Cairo - El Tagamoa,Not in Compound,675000.0,شقة للبيع 140م سوبر لوكس على المفتاح
9901,"['Security', 'Covered Parking', 'Elevator', 'Maids Room']",4,3,225.0,0,3,New Cairo - El Tagamoa,VGK,2400000.0,شقه داخل كمبوند علي التسعين للبيع
9902,"['Security', 'Covered Parking', 'Pets Allowed']",3,2,170.0,0,9,Downtown Cairo,Not in Compound,360000.0,170 متر بشارع السودان لقطة
9903,[],4,3,250.0,0,5,Rehab City,Not in Compound,3100000.0,فرصه لن تتكرر موجود تمليك بالرحاب ٢٥٠ م دو...
9904,[],3,1,115.0,0,3,Ain Shams,Not in Compound,430000.0,شقة للبيع
9905,[],3,3,136.0,0,0,Rehab City,Not in Compound,2000000.0,فرصه موجود شقه للبيع بالرحاب ١٣٦ م ارضى بح...
9906,[],3,2,123.0,0,2,Rehab City,Not in Compound,1600000.0,موجود شقه للبيع بالرحاب ١٢٣ م بجوار الخدما...
9907,[],2,1,90.0,0,2,Rehab City,Not in Compound,1250000.0,موجود لدينا شقه تمليك بالرحاب مرحله خامسه ...
9908,[],2,1,99.0,0,2,Rehab City,Not in Compound,1450000.0,موجود شقه للبيع بالرحاب ٩٩ م دور ٢ بسانسير...
9909,[],3,3,155.0,0,2,Rehab City,Not in Compound,1950000.0,موجود لدينا شقه تمليك بالرحاب مرحله أولى د...
9910,[],3,3,162.0,0,5,Rehab City,Not in Compound,2200000.0,موجود لدينا شقه تمليك بالرحاب ١٦٢ م دور خا...
9911,"['Security', 'Elevator', 'Pets Allowed']",3,1,108.0,0,5,Nasr City,Not in Compound,490000.0,شقة للبيع
9912,[],3,1,115.0,0,2,New Cairo - El Tagamoa,Not in Compound,150000.0,شقه سكن مصر بالقاهرة الجديدة المرحلة الأول...
9913,[],3,2,108.0,0,2,Rehab City,Not in Compound,1300000.0,فرصه موجود شقه للبيع بالرحاب مرحله تانيه ا...
